"","Compound_ID","KEGG","Class","Subclass_1","Subclass_2","Subclass_3","Subclass_4"
"1","SL00051","C00407","Peptides","Amino acids","Common amino acids","none","none"
"2","X05406","C00077","Peptides","Amino acids","Other amino acids","none","none"
"3","X01664","C00188","Peptides","Amino acids","Common amino acids","none","none"
"4","X05407","C00089","Carbohydrates","Oligosaccharides","Disaccharides","none","none"
"5","X07910","C00152","Peptides","Amino acids","Common amino acids","none","none"
"6","X00171","C01029",NA,NA,NA,NA,NA
"7","X00135","C00864","Vitamins and Cofactors","Vitamins","Water-soluble vitamins","none","none"
"8","X00509","C00135","Peptides","Amino acids","Common amino acids","none","none"
"9","SL00079","C12269",NA,NA,NA,NA,NA
"10","X07554","C11002",NA,NA,NA,NA,NA
"11","SL00018","C00106","Nucleic acids","Bases","Pyrimidines","none","none"
"12","X00230","C01152",NA,NA,NA,NA,NA
"13","X02373","C00437",NA,NA,NA,NA,NA
"14","SL00232","C00378","Vitamins and Cofactors","Vitamins","Water-soluble vitamins","none","none"
"15","X03133","C02997",NA,NA,NA,NA,NA
"16","X00109","C00042","Organic acids","Carboxylic acids","Dicarboxylic acids","none","none"
"17","SL00249","C04483","Lipids","Sterol Lipids","Bile acids and derivatives","C24 bile acids, alcohols, and derivatives","none"
"18","X00332","C00785",NA,NA,NA,NA,NA
"19","X02467","C16308",NA,NA,NA,NA,NA
"20","SL00253","C00019","Vitamins and Cofactors","Cofactors","Coenzymes","none","none"
"21","SL00014","C00065","Peptides","Amino acids","Common amino acids","none","none"
"22","SL00148","C00062","Peptides","Amino acids","Common amino acids","none","none"
"23","SL00011","C00114",NA,NA,NA,NA,NA
"24","SL00075","C01996","Hormones and transmitters","Neurotransmitters","Acetylcholine","none","none"
"25","X00244","C00082","Peptides","Amino acids","Common amino acids","none","none"
"26","X02098","C00645","Carbohydrates","Monosaccharides","Amino sugars","none","none"
"27","SL00109","C00318",NA,NA,NA,NA,NA
"28","SL00200","C00078","Peptides","Amino acids","Common amino acids","none","none"
"29","X04941",NA,NA,NA,NA,NA,NA
"30","X01391","C01035",NA,NA,NA,NA,NA
"31","SL00236","C01762","Phytochemical compounds","Alkaloids","Others","Purine alkaloids","none"
"32","SL00065","C01004","Phytochemical compounds","Alkaloids","Alkaloids derived from nicotinic acid","Pyridine alkaloids","none"
"33","SL00159","C07480","Phytochemical compounds","Alkaloids","Others","Purine alkaloids","none"
"34","X02468","",NA,NA,NA,NA,NA
"35","X02452","",NA,NA,NA,NA,NA
"36","X08091","",NA,NA,NA,NA,NA
"37","X01151","",NA,NA,NA,NA,NA
"38","X03295","",NA,NA,NA,NA,NA
"39","X03151","",NA,NA,NA,NA,NA
"40","X05463","",NA,NA,NA,NA,NA
"41","X03428","",NA,NA,NA,NA,NA
"42","X00896","",NA,NA,NA,NA,NA
"43","X03018","",NA,NA,NA,NA,NA
"44","X06276","",NA,NA,NA,NA,NA
"45","X01581","",NA,NA,NA,NA,NA
"46","X04054","",NA,NA,NA,NA,NA
"47","X04273","",NA,NA,NA,NA,NA
"48","X02167","",NA,NA,NA,NA,NA
"49","X04449","",NA,NA,NA,NA,NA
"50","X09328","",NA,NA,NA,NA,NA
"51","X06428","",NA,NA,NA,NA,NA
"52","X01134","",NA,NA,NA,NA,NA
"53","X02548","",NA,NA,NA,NA,NA
"54","X08121","",NA,NA,NA,NA,NA
"55","X01846","",NA,NA,NA,NA,NA
"56","X03356","",NA,NA,NA,NA,NA
"57","X04693","",NA,NA,NA,NA,NA
"58","X01541","",NA,NA,NA,NA,NA
"59","X02168","",NA,NA,NA,NA,NA
"60","X00471","",NA,NA,NA,NA,NA
"61","X03246","",NA,NA,NA,NA,NA
"62","X08469","",NA,NA,NA,NA,NA
"63","X06385","",NA,NA,NA,NA,NA
"64","X04695","",NA,NA,NA,NA,NA
"65","X09313","",NA,NA,NA,NA,NA
"66","X06572","",NA,NA,NA,NA,NA
"67","X08653","",NA,NA,NA,NA,NA
"68","X02592","",NA,NA,NA,NA,NA
"69","X09114","",NA,NA,NA,NA,NA
"70","X06051","",NA,NA,NA,NA,NA
"71","X03599","",NA,NA,NA,NA,NA
"72","X00334","",NA,NA,NA,NA,NA
"73","X07482","",NA,NA,NA,NA,NA
"74","X05956","",NA,NA,NA,NA,NA
"75","X06596","",NA,NA,NA,NA,NA
"76","X06037","",NA,NA,NA,NA,NA
"77","X05597","",NA,NA,NA,NA,NA
"78","X00988","",NA,NA,NA,NA,NA
"79","X07163","",NA,NA,NA,NA,NA
"80","X00036","",NA,NA,NA,NA,NA
"81","X06133","",NA,NA,NA,NA,NA
"82","X00514","",NA,NA,NA,NA,NA
"83","X00744","",NA,NA,NA,NA,NA
"84","X02005","",NA,NA,NA,NA,NA
"85","X06497","",NA,NA,NA,NA,NA
"86","X05984","",NA,NA,NA,NA,NA
"87","X02405","",NA,NA,NA,NA,NA
"88","X02036","",NA,NA,NA,NA,NA
"89","X02352","",NA,NA,NA,NA,NA
"90","X01492","",NA,NA,NA,NA,NA
"91","X02580","",NA,NA,NA,NA,NA
"92","X03941","",NA,NA,NA,NA,NA
"93","X02052","",NA,NA,NA,NA,NA
"94","X06278","",NA,NA,NA,NA,NA
"95","X05190","",NA,NA,NA,NA,NA
"96","X04991","",NA,NA,NA,NA,NA
"97","X06300","",NA,NA,NA,NA,NA
"98","X00774","",NA,NA,NA,NA,NA
"99","X02360","",NA,NA,NA,NA,NA
"100","X00160","",NA,NA,NA,NA,NA
"101","X01377","",NA,NA,NA,NA,NA
"102","X05383","",NA,NA,NA,NA,NA
"103","X02063","",NA,NA,NA,NA,NA
"104","X03759","",NA,NA,NA,NA,NA
"105","X02147","",NA,NA,NA,NA,NA
"106","X05720","",NA,NA,NA,NA,NA
"107","X07700","",NA,NA,NA,NA,NA
"108","X04330","",NA,NA,NA,NA,NA
"109","X01487","",NA,NA,NA,NA,NA
"110","X01330","",NA,NA,NA,NA,NA
"111","X00177","",NA,NA,NA,NA,NA
"112","X00272","",NA,NA,NA,NA,NA
"113","X04675","",NA,NA,NA,NA,NA
"114","X03897","",NA,NA,NA,NA,NA
"115","X04740","",NA,NA,NA,NA,NA
"116","X02549","",NA,NA,NA,NA,NA
"117","X09661","",NA,NA,NA,NA,NA
"118","X07771","",NA,NA,NA,NA,NA
"119","X02741","",NA,NA,NA,NA,NA
"120","X00565","",NA,NA,NA,NA,NA
"121","X05613","",NA,NA,NA,NA,NA
"122","X05537","",NA,NA,NA,NA,NA
"123","X03561","",NA,NA,NA,NA,NA
"124","X06486","",NA,NA,NA,NA,NA
"125","X05120","",NA,NA,NA,NA,NA
"126","X09420","",NA,NA,NA,NA,NA
"127","X07868","",NA,NA,NA,NA,NA
"128","X04583","",NA,NA,NA,NA,NA
"129","X04916","",NA,NA,NA,NA,NA
"130","X05254","",NA,NA,NA,NA,NA
"131","X00799","",NA,NA,NA,NA,NA
"132","X05841","",NA,NA,NA,NA,NA
"133","X07986","",NA,NA,NA,NA,NA
"134","X01457","",NA,NA,NA,NA,NA
"135","X08347","",NA,NA,NA,NA,NA
"136","X05773","",NA,NA,NA,NA,NA
"137","X09608","",NA,NA,NA,NA,NA
"138","X04585","",NA,NA,NA,NA,NA
"139","X09654","",NA,NA,NA,NA,NA
"140","X08156","",NA,NA,NA,NA,NA
"141","X01749","",NA,NA,NA,NA,NA
"142","X01731","",NA,NA,NA,NA,NA
"143","X04261","",NA,NA,NA,NA,NA
"144","X04441","",NA,NA,NA,NA,NA
"145","X05896","",NA,NA,NA,NA,NA
"146","X05887","",NA,NA,NA,NA,NA
"147","X00377","",NA,NA,NA,NA,NA
"148","X01584","",NA,NA,NA,NA,NA
"149","X08292","",NA,NA,NA,NA,NA
"150","X05006","",NA,NA,NA,NA,NA
"151","X01559","",NA,NA,NA,NA,NA
"152","X02203","",NA,NA,NA,NA,NA
"153","X06420","",NA,NA,NA,NA,NA
"154","X09314","",NA,NA,NA,NA,NA
"155","X00727","",NA,NA,NA,NA,NA
"156","X03548","",NA,NA,NA,NA,NA
"157","X01924","",NA,NA,NA,NA,NA
"158","X07531","",NA,NA,NA,NA,NA
"159","X04418","",NA,NA,NA,NA,NA
"160","X04836","",NA,NA,NA,NA,NA
"161","X08299","",NA,NA,NA,NA,NA
"162","X00690","",NA,NA,NA,NA,NA
"163","X00789","",NA,NA,NA,NA,NA
"164","X03651","",NA,NA,NA,NA,NA
"165","X02919","",NA,NA,NA,NA,NA
"166","X09538","",NA,NA,NA,NA,NA
"167","X03189","",NA,NA,NA,NA,NA
"168","X06475","",NA,NA,NA,NA,NA
"169","X08645","",NA,NA,NA,NA,NA
"170","X06913","",NA,NA,NA,NA,NA
"171","X06815","",NA,NA,NA,NA,NA
"172","X01258","",NA,NA,NA,NA,NA
"173","X04850","",NA,NA,NA,NA,NA
"174","X04254","",NA,NA,NA,NA,NA
"175","X03675","",NA,NA,NA,NA,NA
"176","X03915","",NA,NA,NA,NA,NA
"177","X01784","",NA,NA,NA,NA,NA
"178","X07201","",NA,NA,NA,NA,NA
"179","X03591","",NA,NA,NA,NA,NA
"180","X06839","",NA,NA,NA,NA,NA
"181","X06091","",NA,NA,NA,NA,NA
"182","X09815","",NA,NA,NA,NA,NA
"183","X02347","",NA,NA,NA,NA,NA
"184","X07788","",NA,NA,NA,NA,NA
"185","X04622","",NA,NA,NA,NA,NA
"186","X01071","",NA,NA,NA,NA,NA
"187","X03248","",NA,NA,NA,NA,NA
"188","X02102","",NA,NA,NA,NA,NA
"189","X04635","",NA,NA,NA,NA,NA
"190","X07573","",NA,NA,NA,NA,NA
"191","X01755","",NA,NA,NA,NA,NA
"192","X07380","",NA,NA,NA,NA,NA
"193","X01045","",NA,NA,NA,NA,NA
"194","X04333","",NA,NA,NA,NA,NA
"195","X06050","",NA,NA,NA,NA,NA
"196","X08149","",NA,NA,NA,NA,NA
"197","X09786","",NA,NA,NA,NA,NA
"198","X05665","",NA,NA,NA,NA,NA
"199","X06561","",NA,NA,NA,NA,NA
"200","X04639","",NA,NA,NA,NA,NA
"201","X03542","",NA,NA,NA,NA,NA
"202","X00411","",NA,NA,NA,NA,NA
"203","X06676","",NA,NA,NA,NA,NA
"204","X08740","",NA,NA,NA,NA,NA
"205","X09917","",NA,NA,NA,NA,NA
"206","X03142","",NA,NA,NA,NA,NA
"207","X02838","",NA,NA,NA,NA,NA
"208","X08053","",NA,NA,NA,NA,NA
"209","X01683","",NA,NA,NA,NA,NA
"210","X03547","",NA,NA,NA,NA,NA
"211","X09395","",NA,NA,NA,NA,NA
"212","X02776","",NA,NA,NA,NA,NA
"213","X00941","",NA,NA,NA,NA,NA
"214","X08283","",NA,NA,NA,NA,NA
"215","X01242","",NA,NA,NA,NA,NA
"216","X03497","",NA,NA,NA,NA,NA
"217","X02718","",NA,NA,NA,NA,NA
"218","X04109","",NA,NA,NA,NA,NA
"219","X04455","",NA,NA,NA,NA,NA
"220","X07819","",NA,NA,NA,NA,NA
"221","X02382","",NA,NA,NA,NA,NA
"222","X06864","",NA,NA,NA,NA,NA
"223","X05865","",NA,NA,NA,NA,NA
"224","X08131","",NA,NA,NA,NA,NA
"225","X03579","",NA,NA,NA,NA,NA
"226","X05050","",NA,NA,NA,NA,NA
"227","X02858","",NA,NA,NA,NA,NA
"228","X01850","",NA,NA,NA,NA,NA
"229","X09550","",NA,NA,NA,NA,NA
"230","X02895","",NA,NA,NA,NA,NA
"231","X06336","",NA,NA,NA,NA,NA
"232","X00686","",NA,NA,NA,NA,NA
"233","X01307","",NA,NA,NA,NA,NA
"234","X01576","",NA,NA,NA,NA,NA
"235","X01569","",NA,NA,NA,NA,NA
"236","X08953","",NA,NA,NA,NA,NA
