,X00230,X01391,SL00075,SL00148,X07910,SL00109,SL00011,SL00249,X04941,X05407,X00509,SL00051,X00171,X03133,X02098,X02373,SL00079,X05406,X00135,SL00253,SL00014,X00109,X07554,SL00159,SL00232,X01664,X02467,SL00065,SL00200,X00244,SL00018,X00332,SL00236,SL00158,X03661,SL00095,SL00108,SL00205,SL00012,SL00102,SL00131,X04231,X01803,SL00086,SL00064,SL00042,SL00193,SL00028,SL00170,SL00112,SL00230,SL00124,SL00199,SL00238,SL00076,SL00047,SL00006,X01507,SL00174,X00077,SL00188,SL00215,SL00254,SL00151,SL00050,SL00019,SL00226,SL00229,SL00217,SL00221,SL00094,SL00171,SL00053,SL00186,SL00021,X01315,SL00189,SL00156,SL00185,SL00015,SL00003,SL00176,SL00153,SL00194,SL00141,SL00157,SL00154,SL00177,SL00224,SL00182,SL00167,SL00250,SL00150,X01203,SL00181,SL00032,SL00179,X01466,SL00052,X02325,SL00078,SL00059,SL00008,SL00123,SL00090,SL00175,SL00206,SL00180,SL00173,SL00242,SL00203,SL00099,SL00214,SL00033,X01671,SL00115,SL00083,SL00125,SL00105,SL00045,SL00237,SL00020,SL00207,SL00132,SL00137,SL00184,SL00196,SL00152,X00266,SL00034,SL00160,SL00061,SL00225,SL00039,SL00106,X01732,SL00227,SL00251,SL00023,SL00087,SL00255,SL00168,SL00010,SL00256
SA054901,4402932,15853507,12603663,158790464,712509,909668,136370992,25786356,2084469,1444795,6328032,95818216,42613991,2967326,6696451,7502830,82204664,2771127,22933725,599343,5651095,13081821,964043,19255368,30599678,17008256,2713108,451417,7897465,34784450,11470183,69128324,1156579,1732259,945576,227736,693820,6458287,357758,263872,2071314,231091,182350,84562,247407,1522111,3228265,6286243,23356492,51968,1041513,11593259,1173303,4631809,2717480,2888651,18538264,14731807,19375098,54121743,3346457,1804394,266653,124074,217754,5876044,181028,680618,3821903,5064740,432806,36330,12557635,36156,977272,7161564,1289082,7066055,3337885,2312952,1895413,703243,100558,879494,1170582,5094383,508433,705242,2348809,283468,80800,4668531,8881578,9206128,2649242,1357121,610841,643949,102742792,693193,25769362,24056438,140801,29445572,8447076,21578624,4426236,6251040,744610,4603010,234250,1044852,127041,68083296,3470579,31099,2068465,134472912,1361611,166901808,49259,158071168,2491590,898231,1726367,57238,8897242,485509,17310,143086,345189,124958,8521947,1063817,114393,10682086,3124474,3989629,142929744,29372000,247823,906831,10188745,156780
SA054902,6649309,4789965,1330984960,99294208,206546,3489056,112404640,15870298,1230313,755809,25850020,59693636,55330115,3228926,4836409,5346514,77869056,1443902,17485734,816627,3827699,10387236,510729,10078005,19075826,14273309,2029797,3337311,7801040,95966064,2613595,44763507,455274,10878839,2009618,735855,769299,13634076,115042,174087,142815872,569598,28681534,981654,108324,998027,534319,2655598,15064480,70042,317910,34222196,640241,1014215,1312301,415028,13378877,17708956,9718570,7093597,11792450,3460378,267788,133270,688270,3700820,1092762,364955,2603015,4083488,483156,1033786,3935200,583973,468498,14239098,3599939,13937251,13943693,1088714,1293979,487231,235381,10218262,1001041,12402730,727171,69359,2435782,445800,834942,2158787,1280062,1286536,4622131,2244080,401629,1415409,63286532,401570,11713230,13177447,76796,15252907,11692172,15291700,5500224,3433562,629578,1684583,652547,1587870,99648,107032928,1228470,466652,1795241,88175912,1001968,14474878,2962605,108890744,112380,1045189,2639277,8012149,6876542,495454,8198,503437,1947024,94569,6471936,254730,185995,4470689,5050503,3026131,112692032,14788594,243004,919424,7651135,135112
SA054903,3352566,5119593,354286528,31397846,18569,406109,68493896,6192236,499407,793255,13436325,19684706,81453775,3595090,2197608,7872299,85518072,670273,12091522,576235,1298638,12455346,519463,5945496,26619378,9038036,2186838,10492628,2708845,64332696,5293292,60712247,967466,10730847,522807,349690,571821,9196370,459559,26098,1201344,109402,9435005,125935,86543,2111908,774188,1969546,22222594,48348,214727,10436486,330634,1355667,3162687,23868,10171548,3589415,19158180,128978872,34918548,1481933,144348,56903,240478,3909083,253265,210178,430066,10373289,1050646,1330206,14404826,7586726,118291,10421344,3985707,10355016,10624736,1022020,498415,255853,501170,185549,433575,4321668,1572657,227014,12087813,40849,99965,1428026,2867701,1933113,3971542,2389651,6277983,2231586,23258588,2011891,8477742,9413159,267494,12985583,2372984,9380584,5038370,2516623,541488,164195,377803,1114897,49675,83560968,3371626,69681,1909525,36787616,1475921,43456644,3604,50629832,38275424,1671074,507477,2332236,11752038,432254,8873,439577,1462693,211641,944077,839968,112547,1067622,689314,935366,52395900,18274154,124383,1710157,3453016,82388
SA054904,1096851,15703724,24795882,55637608,43524,520614,147596192,9210403,722010,3589288,2748790,22673864,49823865,3651621,5641119,4489552,76636632,638611,9484109,777583,1771466,8371739,318433,7874810,21773090,9051860,3362585,8208944,2845075,79129757,7874243,66194916,1033825,12756877,2963818,399936,2245772,3081022,540105,40733,1562963,185560,14542984,42282,38828,1551608,847966,2114933,13889224,1767,1131996,36998304,252083,3479928,2089272,260249,10548431,5030808,11250479,11950005,19802592,962158,126100,44777,298766,1116403,679472,918825,5518324,16674172,1224277,1795607,5321983,506984,188804,7420720,867886,6872910,7929175,561676,540374,509323,19692,724448,347602,4191794,270150,259665,16060,286357,88865,2059089,7794979,1860674,6836553,354275,1618141,2134489,25247858,585373,9335361,9078127,98620,13876641,2852162,8961898,3681759,2818393,606599,1770289,368112,994881,49014,67920216,4090949,65521,1638906,41274712,790036,41711924,479113,102768872,131915,902454,349739,2048698,12763131,528152,9167,389750,2328770,24643,9889819,574454,85448,4647236,7855662,1986030,81670792,22269860,174342,986591,9827271,71482
SA054905,1443628,6252948,287222592,16965490,38415,1341548,27533690,7534154,648231,801376,27198091,22163600,10758912,3981190,7972330,6755103,114557768,384973,11160950,657717,1269724,10192350,209253,4934688,49277984,9330455,3312394,6925685,2792046,88843788,5167041,42016084,547320,8606143,3555626,138917,4192390,5876099,548498,373084,709742,175775,139840,161518,191468,1116950,1963971,8940022,21140800,2062,455486,9064229,134558,1479512,1877428,13161506,8891736,4676868,22138818,48755494,57403092,557222,228428,126953,576182,652427,504629,1631240,1804377,6693511,1634542,1914831,2071482,1223917,181078,6640718,3418213,6765035,15361596,891411,500292,514463,388807,998264,615421,2728250,277790,312963,148019,223679,206360,2624292,3658975,1560679,825319,156309,530511,2562417,22847072,2637562,8709522,18302200,166639,20473006,2931038,12640580,5829477,4938403,394275,12107331,343110,1419565,129384,107533360,5503789,67911,1490652,38642948,4118070,27529930,9179533,137640896,3287221,1302001,525675,3889091,19663958,629573,12472,51443,1432426,445568,3223106,2425239,95402,986631,1196686,895477,65641044,22248686,497668,337965,6968723,358727
SA054906,1905923,6929927,91631056,24417794,73325,1551241,162894336,10230780,584877,665482,18363407,87781712,3073409,2735300,14476192,5196789,95871824,404306,13471066,156226,4514985,8860152,540151,167626,27174268,22908984,4412040,3170355,8930602,162434788,6579210,116810548,5269118,630424,1811247,89285,1186534,8762720,464741,35342,1304898,338712,72205,3862942,186638,3320699,1005609,3002165,59021552,130602,2062907,5108944,1084402,1257398,5711135,2432981,22035626,19265580,62667708,425226119,13751106,1342469,101879,99727,225090,7700304,577835,1765157,3885211,25342980,1314564,2508649,19826360,489335,289587,4983742,2067071,5674249,5661158,586802,1786061,201496,447086,1844085,1172896,3055839,642451,739219,1095161,284769,221301,2421023,4151760,2864437,1189329,603479,246230,3969146,95583312,1499788,17815124,10775970,458741,26536474,857397,20039098,4615093,8161834,1513551,22968428,583789,2667524,177101,54900048,4172275,81712,899325,116506424,6925132,87047840,1596,190798208,79039056,2295340,1532495,1614669,33582288,478801,3905960,166525,2218317,326042,5811048,1891394,39277,6297139,4050266,2625205,121328032,17945728,316233,331835,4819515,229124
SA054907,1279729,9577545,92902032,73387400,71450,1225946,71049280,6625483,50549,387288,12867997,37218464,43075465,4142870,3821077,5711093,116208088,936896,17770158,633303,2281339,19367819,1300994,11180597,46413704,11728212,1452379,941795,2866815,69230531,4069471,73847006,1068159,3601732,1133342,138390,257844,5398002,484592,35597,1406424,234227,993009,67352,106140,2141012,964475,2623662,2297680,1555,179563,5352052,1392929,1066312,3703402,1085067,12280041,9793295,45290564,332507266,29017028,813882,69357,62681,561833,1014769,463538,117562,1662464,37554120,1472018,2732640,2547994,1200426,180794,6161353,2259656,5854057,10103229,928672,853395,59664,168138,105388,213039,3800055,340549,208244,538866,142491,153532,1361294,3051929,1190506,7888358,976530,121215,4676810,34239160,1844974,9534261,10081901,70279,14180176,437425,14470039,9673638,7561526,983853,1027002,134212,3603649,80105,91070112,8129456,71099,1464601,47318668,18544874,1367397,1762,86389784,16580871,2963776,2696278,1059378,18755646,669500,781124,119163,877437,34397,3926500,649756,187512,3818616,1461496,1428456,84887120,18652872,70215,272729,4378344,54748
SA054908,9886705,10198533,362237248,215971360,1048048,1994844,42489036,86547016,8079788,1747639,62430965,150026736,107459834,2865430,12396786,11572469,89842304,5130191,23777589,2691,9449656,11990765,493053,126373,36582188,27654433,18146109,6098211,23542514,115644740,10876176,157371259,372337,459817,1920855,270467,1023942,40148864,579583,2532403,28336534,201017,5711212,86566,101534,1283471,9184310,1352590,9274126,249850,1073213,53127632,1611203,467892,2459432,340752,31949408,29214432,18273048,67771393,782175,736486,2871859,104320,1807789,558713,615938,859457,5650136,112372576,697319,91998,12271590,14351,172831,15454917,11100378,14655911,22083216,3176270,3403481,2672589,728732,2659042,2616344,13057384,203588,777835,310451,1143017,336749,17190036,2633452,4999121,1495343,1023870,317136,640044,197438992,1464906,35861000,18489388,646618,54730960,6558234,21631352,6296779,2785048,462206,19482962,1822520,388917,396927,74051016,1194597,164174,3282286,428305824,1949794,36678464,158372,150524256,283703,1679682,845301,213247,14786852,1665159,8844,191370,38817,821418,42058808,2560936,416897,1339181,13996945,7573434,157939760,28970928,4350372,598024,11546570,3314562
SA054909,2788005,25082059,5623203,103410016,144162,42718,195094864,51591004,1795583,456684,2151459,48893776,80756872,1816896,3443973,2102750,72178664,1532315,13775722,290646,3512798,8020468,563502,204024,51106052,11270783,4291484,662536,3039225,46990749,8748368,9255330,469527,123341,678612,107334,289516,1754930,314149,8165,865884,171405,4934156,28640,277586,1003598,129360,3302800,28066598,68015,207445,50549604,608400,2633184,1392016,104503,12018281,13776410,15866816,30337770,394589,1475887,227288,172411,2545152,11573314,2941343,1170812,3227536,90862112,446182,43415,9019971,3820,111008,3086889,492744,2813079,2425196,681641,1086307,432882,28003,64685108,253086,1313789,210281,614740,13005626,67664,103999,9766154,10604691,4846110,607734,1794795,423714,195648,59673024,816969,10928479,2525480,168871,23186626,3370476,8132081,4289678,6332872,1134082,718968,84627,649710,44564,58595440,647223,57030,1360151,75100528,1126264,36281500,121332,136944176,5350524,1286996,4682251,7731,24203110,582643,6499,121387,13471,25478,7277720,1391812,103316,2591993,1279235,8890607,99165984,24169010,540136,156721,3421463,399901
SA054910,196912,783388,52781732,28065902,139782,280721,37544048,6028066,203119,1147425,6077272,4266726,253672133,455792,7738428,2792666,36502528,280041,1811797,1445982,357694,451292266,580871,315223,13179997,6204130,777365,1022758,2056772,15033796,752639,2253269,90539,59165,332627,1047923,218097,16018437,271726,42007,26173360,143219,883769,16608,54046,407331,193154,1248743,4817262,1406,30651,2140186,162541,757969,416755,510430,6692664,1125179,8863546,16764572,372105,1320273,24311416,114395,383529,39425548,433352,77476,142986,3790758,194788,48583,2388762,18583,37919,22953318,1354283,22509698,14204848,165954,79189,230136,12316,801066,73753,17201280,67853,29993,640586,101962,73568,1209657,18856716,1216104,8428371,653815,628271,227742,4341338,547704,2411407,630517,2061,2818381,7600289,2682471,1637245,604853,148188,788439,3781,1318847,21936,22790154,312103,104071,1746580,7176782,880378,3260715,920549,41682584,126912,680558,2549541,106117,3973839,253892,62788293,2948307,28309,291,855726,13559,216553,46330,2525264,546219,107980288,1943964,3647776,516990,5654214,2975399
