"","Module","Description","X008.CD.T4I_S125_ME_L001__paired.","X011.CD.V2_S220_ME_L001__paired.","X059.CD.T4W_S238_ME_L001__paired.","X090.CD.T4W_S195_ME_L001__paired.","X101.CD.V2_S205_ME_L001__paired.","X003.CD.V3_S58_ME_L001__paired.","X108.CD.T2W_S102_ME_L001__paired.","X008.CD.T2W_S61_ME_L001__paired.","X042.CD.V3_S202_ME_L001__paired.","X037.CD.T4I_S11_ME_L001__paired.","X052.CD.T2I_S15_ME_L001__paired.","X103.CD.V2_S161_ME_L001__paired.","X003.CD.V4_S122_ME_L001__paired.","X008.CD.V3_S71_ME_L001__paired.","X113.CD.T4I_S268_ME_L001__paired.","X113.CD.T14I_S79_ME_L001__paired.","X117.NCD.V2_S112_ME_L001__paired.","X003.CD.V2_S132_ME_L001__paired.","X054.CD.T2I_S215_ME_L001__paired.","X011.CD.T2I_S123_ME_L001__paired.","X087.CD.V2_S157_ME_L001__paired.","X014.CD.T4W_S207_ME_L001__paired.","X001.NCD.V2_S119_ME_L001__paired.","X105.CD.T2W_S85_ME_L001__paired.","X003.CD.T2W_S55_ME_L001__paired.","X060.CD.T4W_S36_ME_L001__paired.","X072.CD.T2I_S72_ME_L001__paired.","X024.NCD.V2_S118_ME_L001__paired.","X093.NCD.V2_S111_ME_L001__paired.","X109.CD.T4W_S134_ME_L001__paired.","X063.CD.V3_S251_ME_L001__paired.","X108.CD.V4_S90_ME_L001__paired.","X042.CD.T14I_S163_ME_L001__paired.","X080.NCD.V2_S46_ME_L001__paired.","X027.NCD.V2_S1_ME_L001__paired.","X038.CD.T4W_S83_ME_L001__paired.","X087.CD.T4I_S88_ME_L001__paired.","X105.CD.V3_S133_ME_L001__paired.","X043.CD.V3_S168_ME_L001__paired.","X090.CD.T4I_S240_ME_L001__paired.","X101.CD.T2I_S190_ME_L001__paired.","X108.CD.V3_S42_ME_L001__paired.","X090.CD.V2_S139_ME_L001__paired.","X036.CD.T14I_S43_ME_L001__paired.","X022.NCD.V2_S135_ME_L001__paired.","X090.CD.T14I_S116_ME_L001__paired.","X087.CD.V4_S63_ME_L001__paired.","X038.CD.V3_S244_ME_L001__paired.","X069.CD.V2_S256_ME_L001__paired.","X069.CD.T2I_S230_ME_L001__paired.","X016.CD.V3_S278_ME_L001__paired.","X038.CD.T4I_S252_ME_L001__paired.","X061.CD.T14I_S235_ME_L001__paired.","X103.CD.T2W_S151_ME_L001__paired.","X005.CD.V3_S263_ME_L001__paired.","X108.CD.T4I_S45_ME_L001__paired.","X033.CD.V3_S32_ME_L001__paired.","X103.CD.T14I_S165_ME_L001__paired.","X038.CD.T14I_S246_ME_L001__paired.","X087.CD.T2W_S77_ME_L001__paired.","X017.CD.T14I_S18_ME_L001__paired.","X017.CD.T4W_S96_ME_L001__paired.","X072.CD.T4W_S48_ME_L001__paired.","X054.CD.V2_S186_ME_L001__paired.","X087.CD.T4W_S12_ME_L001__paired.","X038.CD.V4_S262_ME_L001__paired.","X014.CD.T2W_S199_ME_L001__paired.","X052.CD.T4W_S31_ME_L001__paired.","X017.CD.V4_S208_ME_L001__paired.","X038.CD.T2I_S259_ME_L001__paired.","X033.CD.V4_S206_ME_L001__paired.","X039.CD.V4_S253_ME_L001__paired.","X041.NCD.V2_S265_ME_L001__paired.","X007.NCD.V2_S113_ME_L001__paired.","X054.CD.T14I_S232_ME_L001__paired.","X081.NCD.V2_S138_ME_L001__paired.","X057.NCD.V2_S82_ME_L001__paired.","X108.CD.T2I_S101_ME_L001__paired.","X063.CD.T2I_S164_ME_L001__paired.","X061.CD.V3_S225_ME_L001__paired.","X005.CD.T4W_S106_ME_L001__paired.","X072.CD.V2_S52_ME_L001__paired.","X087.CD.V3_S193_ME_L001__paired.","X113.CD.V4_S30_ME_L001__paired.","X054.CD.V3_S267_ME_L001__paired.","X084.NCD.V2_S99_ME_L001__paired.","X038.CD.T2W_S129_ME_L001__paired.","X017.CD.T4I_S29_ME_L001__paired.","X037.CD.T2W_S254_ME_L001__paired.","X090.CD.T2W_S237_ME_L001__paired.","X017.CD.T2I_S39_ME_L001__paired.","X061.CD.T4W_S239_ME_L001__paired.","X033.CD.T4W_S110_ME_L001__paired.","X037.CD.T2I_S130_ME_L001__paired.","X105.CD.V4_S81_ME_L001__paired.","X036.CD.T4W_S33_ME_L001__paired.","X087.CD.t21_S118_ME_L001__paired.","X103.CD.T4I_S142_ME_L001__paired.","X061.CD.T4I_S222_ME_L001__paired.","X043.CD.V2_S120_ME_L001__paired.","X059.CD.V4_S226_ME_L001__paired.","X100.NCD.V2_S91_ME_L001__paired.","X105.CD.T4W_S143_ME_L001__paired.","X038.CD.V2_S247_ME_L001__paired.","X058.CD.V3_S176_ME_L001__paired.","X109.CD.T2I_S269_ME_L001__paired.","X090.CD.T2I_S261_ME_L001__paired.","X016.CD.V2_S241_ME_L001__paired.","X017.CD.T2W_S3_ME_L001__paired.","X109.CD.V4_S178_ME_L001__paired.","X016.CD.T4W_S166_ME_L001__paired.","X086.NCD.V2_S198_ME_L001__paired.","X016.CD.T2I_S169_ME_L001__paired.","X037.CD.V3_S160_ME_L001__paired.","X044.NCD.V2_S44_ME_L001__paired.","X060.CD.T14I_S117_ME_L001__paired.","X072.CD.V4_S54_ME_L001__paired.","X033.CD.T2I_S7_ME_L001__paired.","X042.CD.V4_S203_ME_L001__paired.","X112.NCD.V2_S16_ME_L001__paired.","X063.CD.V4_S94_ME_L001__paired.","X037.CD.V2_S214_ME_L001__paired.","X069.CD.T2W_S221_ME_L001__paired.","X101.CD.V4_S66_ME_L001__paired.","X036.CD.V4_S47_ME_L001__paired.","X039.CD.T14I_S211_ME_L001__paired.","X063.CD.T4I_S257_ME_L001__paired.","X072.CD.T4I_S69_ME_L001__paired.","X042.CD.T4W_S109_ME_L001__paired.","X058.CD.V2_S140_ME_L001__paired.","X005.CD.T4I_S8_ME_L001__paired.","X035.NCD.V2_S117_ME_L001__paired.","X058.CD.T2W_S150_ME_L001__paired.","X028.NCD.V2_S19_ME_L001__paired.","X063.CD.T4W_S197_ME_L001__paired.","X059.CD.T2W_S177_ME_L001__paired.","X058.CD.V4_S212_ME_L001__paired.","X008.CD.T14I_S179_ME_L001__paired.","X061.CD.V2_S250_ME_L001__paired.","X052.CD.T14I_S277_ME_L001__paired.","X060.CD.V3_S24_ME_L001__paired.","X011.CD.V3_S229_ME_L001__paired.","X085.NCD.V2_S236_ME_L001__paired.","X069.CD.V3_S231_ME_L001__paired.","X011.CD.T2W_S137_ME_L001__paired.","X019.NCD.V2_S74_ME_L001__paired.","X105.CD.T14I_S5_ME_L001__paired.","X031.NCD.V2_S158_ME_L001__paired.","X060.CD.T2W_S23_ME_L001__paired.","X098.NCD.V2_S155_ME_L001__paired.","X033.CD.T4I_S26_ME_L001__paired.","X036.CD.T2I_S41_ME_L001__paired.","X072.CD.T14I_S65_ME_L001__paired.","X039.CD.T2I_S105_ME_L001__paired.","X059.CD.V3_S264_ME_L001__paired.","X052.CD.T4I_S131_ME_L001__paired.","X054.CD.T4W_S224_ME_L001__paired.","X005.CD.T2W_S266_ME_L001__paired.","X114.NCD.V2_S127_ME_L001__paired.","X105.CD.V2_S86_ME_L001__paired.","X043.CD.V4_S84_ME_L001__paired.","X108.CD.V2_S249_ME_L001__paired.","X113.CD.T2I_S9_ME_L001__paired.","X109.CD.T14I_S2_ME_L001__paired.","X061.CD.V4_S255_ME_L001__paired.","X072.CD.V3_S25_ME_L001__paired.","X052.CD.V2_S89_ME_L001__paired.","X109.CD.T4I_S97_ME_L001__paired.","X040.NCD.V2_S128_ME_L001__paired.","X016.CD.T14I_S121_ME_L001__paired.","X042.CD.T2W_S114_ME_L001__paired.","X103.CD.V4_S188_ME_L001__paired.","X061.CD.T2W_S62_ME_L001__paired.","X072.CD.T2W_S67_ME_L001__paired.","X005.CD.T2I_S172_ME_L001__paired.","X008.CD.V4_S98_ME_L001__paired.","X109.CD.T2W_S34_ME_L001__paired.","X003.CD.T4I_S14_ME_L001__paired.","X108.CD.T4W_S120_ME_L001__paired.","X101.CD.T14I_S100_ME_L001__paired.","X101.CD.T4I_S53_ME_L001__paired.","X113.CD.V2_S6_ME_L001__paired.","X101.CD.T2W_S194_ME_L001__paired.","X016.CD.V4_S223_ME_L001__paired.","X043.CD.T4I_S80_ME_L001__paired.","X033.CD.T14I_S144_ME_L001__paired.","X042.CD.V2_S76_ME_L001__paired.","X043.CD.T14I_S124_ME_L001__paired.","X003.CD.T14I_S75_ME_L001__paired.","X101.CD.V3_S170_ME_L001__paired.","X005.CD.V2_S156_ME_L001__paired.","X103.CD.T2I_S187_ME_L001__paired.","X036.CD.V2_S28_ME_L001__paired.","X011.CD.T4I_S149_ME_L001__paired.","X069.CD.T14I_S260_ME_L001__paired.","X060.CD.T2I_S70_ME_L001__paired.","X037.CD.T4W_S228_ME_L001__paired.","X039.CD.V3_S60_ME_L001__paired.","X033.CD.T2W_S180_ME_L001__paired.","X090.CD.V3_S276_ME_L001__paired.","X088.NCD.V2_S173_ME_L001__paired.","X014.CD.V3_S153_ME_L001__paired.","X105.CD.T4I_S4_ME_L001__paired.","X014.CD.V2_S119_ME_L001__paired.","X033.CD.V2_S20_ME_L001__paired.","X017.CD.V3_S243_ME_L001__paired.","X016.CD.T2W_S107_ME_L001__paired.","X011.CD.T4W_S245_ME_L001__paired.","X036.CD.T4I_S49_ME_L001__paired.","X058.CD.T4I_S27_ME_L001__paired.","X059.CD.V2_S196_ME_L001__paired.","X027.NCD.v2_S122_ME_L001__paired.","X061.CD.T2I_S227_ME_L001__paired.","X014.CD.T2I_S154_ME_L001__paired.","X109.CD.V3_S270_ME_L001__paired.","X058.CD.T4W_S64_ME_L001__paired.","X042.CD.T2I_S167_ME_L001__paired.","X069.CD.T4I_S126_ME_L001__paired.","X060.CD.V4_S21_ME_L001__paired.","X063.CD.T14I_S146_ME_L001__paired.","X113.CD.V3_S274_ME_L001__paired.","X008.CD.T2I_S181_ME_L001__paired.","X037.CD.T14I_S40_ME_L001__paired.","X014.CD.V4_S162_ME_L001__paired.","X042.CD.T4I_S219_ME_L001__paired.","X043.CD.T2I_S159_ME_L001__paired.","X071.NCD.V2_S22_ME_L001__paired.","X054.CD.V4_S210_ME_L001__paired.","X008.Cd.T4W_S121_ME_L001__paired.","X043.CD.T4W_S182_ME_L001__paired.","X017.CD.V2_S108_ME_L001__paired.","X046.NCD.V2_S191_ME_L001__paired.","X054.CD.T4I_S189_ME_L001__paired.","X011.CD.V4_S213_ME_L001__paired.","X103.CD.T4W_S272_ME_L001__paired.","X113.CD.T2W_S37_ME_L001__paired.","X039.CD.T4W_S57_ME_L001__paired.","X054.CD.T2W_S234_ME_L001__paired.","X003.CD.T2I_S275_ME_L001__paired.","X016.CD.T4I_S216_ME_L001__paired.","X052.CD.T2W_S10_ME_L001__paired.","X036.CD.T2W_S17_ME_L001__paired.","X059.CD.T2I_S200_ME_L001__paired.","X052.CD.V4_S152_ME_L001__paired.","X069.CD.T4W_S174_ME_L001__paired.","X069.CD.V4_S35_ME_L001__paired.","X014.CD.T4I_S258_ME_L001__paired.","X063.CD.T2W_S209_ME_L001__paired.","X108.CD.T14I_S104_ME_L001__paired.","X116.NCD.V2_S13_ME_L001__paired.","X005.CD.V4_S171_ME_L001__paired.","X043.CD.T2W_S115_ME_L001__paired.","X014.CD.T14I_S145_ME_L001__paired.","X003.CD.T4W_S38_ME_L001__paired.","X118.NCD.V2_S204_ME_L001__paired.","X036.CD.V3_S175_ME_L001__paired.","X105.CD.T2I_S73_ME_L001__paired.","X021.NCD.V2_S56_ME_L001__paired.","X059.CD.T14I_S242_ME_L001__paired.","X090.CD.V4_S248_ME_L001__paired.","X039.CD.V2_S59_ME_L001__paired.","X039.CD.T4I_S201_ME_L001__paired.","X059.CD.T4I_S233_ME_L001__paired.","X008.CD.V2_S184_ME_L001__paired.","X063.CD.V2_S183_ME_L001__paired.","X037.CD.V4_S217_ME_L001__paired.","X039.CD.T2W_S50_ME_L001__paired.","X058.CD.T2I_S141_ME_L001__paired.","X103.CD.V3_S271_ME_L001__paired.","X052.CD.V3_S51_ME_L001__paired.","X087.CD.T14I_S95_ME_L001__paired.","X011.CD.T14I_S147_ME_L001__paired.","X058.CD.T14I_S192_ME_L001__paired.","X060.CD.V2_S78_ME_L001__paired.","X109.CD.V2_S148_ME_L001__paired."
"1","MGB015","p-Cresol synthesis",89,264,426,496,249,1109,571,291,248,1518,227,47,190,99,868,6044,369,342,344,57,460,621,73,429,1785,739,773,75,105,991,36,210,419,224,913,435,622,344,57,429,700,731,72,232,3,229,623,176,195,488,205,954,341,16,567,53,251,51,447,322,319,2394,242,609,489,402,465,220,316,292,987,680,233,140,570,74,560,43,1342,227,198,658,401,1235,585,306,109,184,331,451,50,378,415,208,75,809,180,68,223,194,751,4523,93,394,773,933,649,394,368,378,116,441,61,70,196,591,892,71,211,183,126,490,297,616,1006,314,1408,1058,73,453,881,50,406,851,263,309,926,111,359,247,965,614,167,172,44,1700,354,52,697,142,1795,351,34,97,479,107,577,316,74,75,250,219,2125,302,306,1158,325,951,173,15,64,296,53,1528,393,329,395,891,74,375,873,106,847,186,200,211,322,36,927,377,193,251,523,82,748,153,670,302,59,1248,1,52,96,94,503,215,69,199,387,645,838,616,275,149,713,272,445,84,374,110,2371,147,811,403,195,121,255,438,435,431,102,1017,700,263,227,536,51,214,775,409,114,477,775,240,189,627,160,207,752,263,130,107,54,111,525,78,41,111,1248,310,440,34,1219,156,41,1094,437,237,437,648,1607,92,1021,372,390
"2","MGB038","Inositol degradation",3,6,62,0,42,53,85,18,6,44,7,3,2,8,26,115,19,18,48,1,62,37,7,5,84,251,82,44,0,297,1,24,16,7,76,34,66,11,10,0,82,95,0,50,0,0,56,4,60,100,2,35,80,6,5,5,41,14,7,63,27,477,36,100,123,21,72,26,20,11,81,79,3,0,53,6,117,29,12,47,2,86,30,51,46,49,11,17,9,0,22,54,82,21,1,190,28,5,48,33,126,234,4,38,145,138,0,10,127,23,5,43,0,4,39,67,90,6,11,29,3,17,106,46,128,59,94,114,0,59,12,0,48,42,19,57,19,8,56,47,268,3,103,15,4,2,22,0,179,0,242,92,4,6,104,17,104,10,24,4,12,38,30,153,58,220,61,613,0,1,15,11,5,226,7,36,225,23,7,34,41,3,51,0,4,45,11,1,34,43,5,6,87,0,171,62,45,30,15,3,1,19,7,30,109,6,0,15,73,171,216,42,59,34,136,49,26,7,64,10,62,6,47,49,5,8,35,54,20,33,12,74,101,4,36,0,10,26,34,27,21,66,128,30,44,129,15,9,112,64,3,11,9,14,115,8,3,31,171,0,73,2,169,10,0,117,36,40,18,44,171,5,42,73,125
"3","MGB016","p-Cresol degradation",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","MGB039","g-Hydroxybutyric acid (GHB) degradation",0,0,0,1,0,0,0,2,6,0,2,0,0,0,0,55,46,0,0,0,4,3,0,0,0,0,0,0,0,7,1,0,1,2,0,0,2,0,0,0,0,11,0,0,0,0,1,0,2,21,2,0,1,0,2,0,2,0,0,2,0,3,0,0,1,0,0,7,0,0,20,0,0,0,0,0,0,0,21,0,0,0,2,10,0,0,0,0,0,0,0,0,25,2,0,0,0,0,2,0,0,0,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,18,0,0,2,0,0,0,3,0,1,0,0,11,0,0,2,0,0,0,0,6,8,0,11,0,0,0,0,107,0,0,0,2,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,363,0,0,0,2,4,0,0,0,0,145,1,0,0,2,0,0,0,2,0,17,0,6,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,13,0,6,0,0,0,0,3,0,0,0,9,0,0,0,0,1,2,0,0,0,0,2,0,0,4,0,8,0,4,1,0
"5","MGB033","Quinolinic acid degradation",98,362,544,562,394,1017,506,349,563,1611,275,39,340,82,800,4636,579,389,117,31,741,1037,88,476,1944,1085,609,179,141,1541,86,258,644,494,629,640,807,664,127,405,738,886,94,900,28,251,670,257,746,1120,288,1659,268,26,440,60,224,91,629,600,574,2549,178,272,890,779,976,248,993,538,995,1585,157,192,251,43,404,72,505,173,121,539,829,1246,204,176,194,289,602,697,64,299,477,238,132,2051,249,104,137,182,836,7167,96,829,748,1326,770,494,372,479,102,710,60,58,257,648,942,90,597,396,50,715,821,574,3456,752,1233,999,63,403,601,92,376,825,305,285,685,114,194,350,1011,386,905,368,42,2029,347,25,884,61,1701,1034,68,222,682,145,291,329,98,201,707,238,2092,584,212,725,454,2097,137,35,86,391,61,1490,233,425,400,1131,83,320,759,86,947,245,450,335,616,71,865,398,105,220,1518,110,1840,164,1115,671,101,1108,50,126,145,421,534,439,78,117,920,869,827,460,212,287,1154,234,1000,168,498,69,1848,88,783,1096,354,285,344,226,368,689,95,612,252,175,373,451,207,207,951,535,92,1635,609,292,425,1539,372,163,567,629,69,100,145,94,741,196,78,196,767,473,1291,92,972,209,68,1949,571,508,503,422,1889,149,906,510,492
"6","MGB055","Propionate synthesis III",103.5,374,972,985.5,498.5,1831,886,435,553,1476.5,1221,201.5,733.5,181,1078.5,9275,1905.5,513,376,27,625.5,1392,119,974,3230,1875.5,1493.5,189.5,383,2247,51.5,279.5,724,801,1407,990,1251,969.5,352.5,912.5,1200,1434,186.5,1529.5,18.5,500.5,1198.5,360,947,1552.5,572,2842.5,535.5,199,816.5,60.5,485,500.5,799,883,754,4897,572,1218,1343.5,902,1720,521,1222.5,814,1547.5,1254,74,271,1101,59.5,1510,75,933,259,330,1745,854,2458,700,642,339.5,358,804,1137.5,111.5,574.5,731,324,221,2626.5,371,426,339,920,1295,9066.5,190.5,1253,1071.5,1392.5,1405,1043.5,904.5,557.5,497,2097,175.5,166,497,1099.5,2356,146.5,681.5,850.5,41.5,829,1070,844.5,4751,663.5,1750,2732,119.5,511.5,1477,87.5,479.5,1799,169.5,600.5,811.5,133,434,1126,1833,164.5,2062,505,65,5319,722,55.5,1601,109,2694.5,1891,258,266.5,956,309,1403.5,517,151,216.5,3135,188,3716.5,1605,545,2174,1406.5,3822.5,372.5,66.5,245,979.5,150.5,3989,620.5,568,958,1902.5,69.5,609,1483,116.5,1514,564.5,1653,309.5,879.5,207,1752.5,636.5,253.5,1239,2325,87,2265.5,293,1664.5,849.5,102.5,1956,0,197,300,723,822.5,397.5,238.5,192.5,549.5,1376,1160,938,496,539,898,412,1066.5,205,745.5,61,3451,0,1418,1581.5,316,571.5,886.5,805.5,229.5,1899.5,201,1502,1018,244.5,1110.5,429,469.5,423,1264,1437,604,2798,1236,753.5,613.5,2249,566.5,115.5,959,1076.5,147.5,168,208.5,175.5,1208,366,164.5,444,1679,851.5,884.5,99.5,1712.5,190,36.5,1905.5,949,615.5,1257,2216.5,2406,135,642.5,842,900
"7","MGB034","Isovaleric acid synthesis I (KADH pathway)",0,0,0,319,0,0,0,0,119,0,0,0,0,0,0,3399,140,0,0,0,0,395,0,187,0,0,413,0,0,302,31,0,0,0,0,0,0,0,0,233,0,844,0,0,0,0,0,0,168,297,0,0,0,0,0,0,0,0,0,0,0,1223,0,0,0,0,0,198,0,0,802,0,0,0,283,0,0,0,273,0,0,324,0,779,207,0,0,0,0,239,0,293,593,280,0,0,0,0,0,0,0,2702,0,0,0,0,295,122,205,0,0,0,26,0,0,0,503,73,0,0,0,255,237,0,0,0,0,573,0,0,0,0,0,525,158,0,0,0,174,0,0,0,113,0,0,982,0,0,0,0,1784,350,0,0,0,0,406,0,46,0,215,0,1241,0,175,633,311,0,0,0,0,0,0,0,218,286,0,0,0,0,0,0,0,0,0,339,0,0,0,255,0,0,0,0,1131,0,0,244,89,0,3,37,0,0,742,100,0,0,0,0,0,0,0,0,152,0,261,52,0,0,0,0,0,0,138,0,0,0,0,245,0,651,185,0,0,0,0,0,0,0,0,0,493,0,0,380,0,0,579,0,0,0,0,0,575,33,0,0,540,0,0,0,0,0,0,1096,0,108,0,380,0,0,0,0,85
"8","MGB056","Propionate degradation I",0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,67,84,0,0,0,5,0,0,0,0,6,0,0,0,15,2,0,2,0,0,0,0,0,0,10,0,12,0,0,0,2,0,0,3,40,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,76,0,0,0,2,22,0,0,0,0,0,2,3,6,78,0,0,0,0,0,0,0,0,26,4,0,8,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,62,0,0,1,0,0,0,3,0,0,0,0,29,0,0,14,0,0,0,0,3,9,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,770,0,0,4,0,36,0,0,0,0,331,0,0,0,0,0,0,0,0,0,42,0,12,0,0,11,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,10,0,5,0,0
"9","MGB035","Isovaleric acid synthesis II (KADC pathway)",311,381.5,220,0,144,319.5,1535.5,476,66,280.5,62.5,7,65.5,164,291.5,2128,0,93.5,194,0,364,261,104,198,540.5,490.5,268.5,57,0,539.5,33,2854.5,146.5,89,326.5,262,645,113.5,26,127,314,940.5,21,144,0,57,753,60,133.5,221,78,357.5,191.5,9,363,248,304.5,24.5,161.5,537,154.5,913.5,92.5,519.5,771,148.5,205.5,121.5,111.5,122,984,594,492.5,65,409,63,206,558,329.5,150.5,66.5,220,649,426,435,152,83.5,60.5,112.5,127.5,22,189.5,950.5,316,31,414.5,113,25.5,202,88,326,1554.5,30.5,279.5,325,355,158.5,134.5,186.5,134,50.5,202,29.5,110,61.5,270.5,349,216.5,81,107.5,10,143.5,190.5,236,515.5,195.5,477.5,386,13.5,144,556,427,140,294.5,113.5,164.5,265.5,224.5,144,128,565,643.5,146.5,65,48,501.5,140.5,95.5,369,370,1137,251.5,22,54.5,233,72,345,270.5,36,0,117,1108,810,209,148.5,529,215,702.5,167.5,0,21.5,99,92,566,211.5,1454.5,256,278,1191,154.5,304.5,33.5,318,73.5,101,209.5,97,22.5,278.5,163.5,117,81.5,284,85,667.5,103.5,234.5,601.5,53.5,305,0,35,54,63.5,470.5,56.5,21,734,240.5,252.5,459.5,259.5,139.5,70,348,86,157,46,182,34.5,780,264,260.5,209,94.5,90,102,258.5,574.5,236.5,43.5,1914.5,313,609,90.5,190.5,29.5,154,195.5,190,59,292.5,340,91,125.5,290.5,80,92,7835,102.5,346,30.5,20.5,31.5,809,28,0,48.5,475.5,89,251,36.5,532,238.5,18.5,798.5,306,88,159,214,1226,130,312,190.5,234
"10","MGB036","S-Adenosylmethionine (SAM) synthesis",390,1175,2313,1300,1440,3033,1902,1221,1685,3596,666,171,792,274,4094,12224,1443,1123,807,122,2151,2187,255,2036,4621,2179,1546,417,703,5053,219,1044,1593,1799,1498,1873,2062,2431,531,1209,2615,2541,241,2583,32,875,1875,618,2126,3646,1369,4487,1202,110,1744,156,626,350,1562,1609,1863,7496,566,1469,2595,1752,1965,1249,3122,1163,2283,4113,369,644,1666,277,1390,293,1994,759,452,1968,2050,3071,1424,590,573,736,1493,1728,277,1321,1112,509,655,5318,542,569,843,628,2810,20998,422,2263,2817,5010,1617,1846,1157,1439,375,2417,294,229,713,1322,2506,242,1784,1027,190,1919,2783,1657,9276,1739,3795,3905,232,875,2025,333,1020,2528,985,752,3290,307,957,1430,1980,716,3200,1173,120,5495,1021,91,2045,182,4308,2774,328,495,2234,470,1761,1462,512,602,2319,970,4793,2221,1144,2671,2453,5446,748,131,263,1813,268,4083,881,1635,1242,2557,296,966,2100,292,3065,1081,2013,634,1586,229,2341,1445,534,1363,3701,357,4443,355,3057,1504,284,2652,111,366,388,855,1301,1662,251,489,1308,2384,2701,968,881,599,4488,946,2792,519,1087,253,5037,381,1820,2257,1106,1093,941,1743,1083,3170,302,1664,1927,620,1304,1337,734,1024,3493,2731,683,4394,2483,1065,1155,4286,678,560,2068,1463,317,354,348,274,2768,560,312,592,2429,1119,2536,277,3912,625,105,6499,1259,1104,2088,1543,4856,520,2965,1049,1692
