,Chao1,Simpson,Shannon
X001.NCD.V2_S119_ME_L001__paired.,2423.441,0.965,4.231
X003.CD.T14I_S75_ME_L001__paired.,1677.534,0.961,3.972
X003.CD.T2I_S275_ME_L001__paired.,2517.724,0.975,4.326
X003.CD.T2W_S55_ME_L001__paired.,1935.869,0.976,4.317
X003.CD.T4I_S14_ME_L001__paired.,1412.545,0.963,4.007
X003.CD.T4W_S38_ME_L001__paired.,1016.109,0.977,4.4
X003.CD.V2_S132_ME_L001__paired.,1949.25,0.972,4.291
X003.CD.V3_S58_ME_L001__paired.,1783.446,0.978,4.353
X003.CD.V4_S122_ME_L001__paired.,1278.245,0.965,4.056
X005.CD.T2I_S172_ME_L001__paired.,2378.223,0.975,4.461
X005.CD.T2W_S266_ME_L001__paired.,2754.988,0.972,4.402
X005.CD.T4I_S8_ME_L001__paired.,2335.378,0.978,4.502
X005.CD.T4W_S106_ME_L001__paired.,1928.163,0.981,4.556
X005.CD.V2_S156_ME_L001__paired.,1961.67,0.978,4.51
X005.CD.V3_S263_ME_L001__paired.,3249.628,0.978,4.495
X005.CD.V4_S171_ME_L001__paired.,2055.076,0.903,3.802
X007.NCD.V2_S113_ME_L001__paired.,1251.022,0.949,3.763
X008.CD.T14I_S179_ME_L001__paired.,2609.264,0.974,4.558
X008.CD.T2I_S181_ME_L001__paired.,2132.029,0.967,4.385
X008.CD.T2W_S61_ME_L001__paired.,2955.017,0.981,4.649
X008.CD.T4I_S125_ME_L001__paired.,1786.286,0.957,4.325
X008.CD.V2_S184_ME_L001__paired.,2554.686,0.976,4.509
X008.CD.V3_S71_ME_L001__paired.,1705.419,0.975,4.496
X008.CD.V4_S98_ME_L001__paired.,2618.996,0.957,4.32
X008.Cd.T4W_S121_ME_L001__paired.,2510.616,0.975,4.539
X011.CD.T14I_S147_ME_L001__paired.,2185.782,0.963,4.161
X011.CD.T2I_S123_ME_L001__paired.,1096.308,0.873,3.148
X011.CD.T2W_S137_ME_L001__paired.,1474.5,0.96,4.126
X011.CD.T4I_S149_ME_L001__paired.,1489.293,0.958,4.081
X011.CD.T4W_S245_ME_L001__paired.,2371.016,0.864,3.153
X011.CD.V2_S220_ME_L001__paired.,2470.744,0.957,4.073
X011.CD.V3_S229_ME_L001__paired.,1987.769,0.891,3.263
X011.CD.V4_S213_ME_L001__paired.,2191.962,0.926,3.688
X014.CD.T14I_S145_ME_L001__paired.,1713.05,0.948,4.226
X014.CD.T2I_S154_ME_L001__paired.,1922.506,0.95,3.996
X014.CD.T2W_S199_ME_L001__paired.,2468.149,0.955,4.063
X014.CD.T4I_S258_ME_L001__paired.,2428.557,0.958,4.278
X014.CD.T4W_S207_ME_L001__paired.,3249.08,0.972,4.48
X014.CD.V2_S119_ME_L001__paired.,1813.452,0.955,4.125
X014.CD.V3_S153_ME_L001__paired.,1780.786,0.971,4.538
X014.CD.V4_S162_ME_L001__paired.,2982.561,0.932,4.149
X016.CD.T14I_S121_ME_L001__paired.,2509.893,0.982,4.741
X016.CD.T2I_S169_ME_L001__paired.,2740.102,0.98,4.649
X016.CD.T2W_S107_ME_L001__paired.,3113.486,0.959,4.349
X016.CD.T4I_S216_ME_L001__paired.,3940.663,0.981,4.688
X016.CD.T4W_S166_ME_L001__paired.,2512.765,0.967,4.475
X016.CD.V2_S241_ME_L001__paired.,3925.105,0.975,4.558
X016.CD.V3_S278_ME_L001__paired.,3705.559,0.983,4.758
X016.CD.V4_S223_ME_L001__paired.,3857.233,0.983,4.751
X017.CD.T14I_S18_ME_L001__paired.,2459.111,0.979,4.472
X017.CD.T2I_S39_ME_L001__paired.,1279.445,0.978,4.468
X017.CD.T2W_S3_ME_L001__paired.,2141.464,0.976,4.365
X017.CD.T4I_S29_ME_L001__paired.,2356.35,0.983,4.586
X017.CD.T4W_S96_ME_L001__paired.,4488.832,0.978,4.52
