"","feature","(Intercept) 2.5 %","(Intercept) 97.5 %","(Intercept) Estimate","(Intercept) Pr(>|t|)","(Intercept) Std. Error","(Intercept) t value","Legend_ex1CD 2.5 %","Legend_ex1CD 97.5 %","Legend_ex1CD Estimate","Legend_ex1CD Pr(>|t|)","Legend_ex1CD Std. Error","Legend_ex1CD t value","(Intercept) Pr(>|t|).BH","Legend_ex1CD Pr(>|t|).BH"
"1","ribose degradation",-1.96610247192013,-0.543853205369848,-1.25497783864499,0.000809684566354474,0.355385445195052,-3.53131467709995,-1.55878691292288,0.436290671051355,-0.561248120935765,0.264798032291047,0.498521287410549,-1.12582578740225,0.000862778636279357,0.945841848000728
"2","glycerol degradation II",1.56844899751914,2.0723802561601,1.82041462683962,4.75059205571695e-21,0.125920145583346,14.4568974122945,-0.485219493850421,0.221676253346613,-0.131771620251904,0.458625607970624,0.17663602698383,-0.746006477285448,9.35722677641217e-21,0.945841848000728
"3","glycerol degradation I",-3.83838807539155,-2.6387317584345,-3.23855991691302,1.31204650458787e-15,0.299764889537923,-10.8036665731772,-1.22399514888182,0.458837447853772,-0.382578850514025,0.366618678696544,0.420498871502481,-0.909821348977789,1.93825051814117e-15,0.945841848000728
"4","tyrosine degradation II",-3.86414828768401,-3.27893225614556,-3.57154027191478,1.53159938117693e-32,0.146231230203431,-24.4239227622321,-0.553241966891598,0.26767699138403,-0.142782487753784,0.489120229907673,0.20512764978496,-0.696066512259395,8.29616331470835e-32,0.945841848000728
"5","aspartate degradation I",2.24597403178267,2.83923018246138,2.54260210712203,1.33942615704155e-24,0.148240260116318,17.1518999300659,-0.375381744941223,0.456815588965501,0.0407169220121394,0.845435294069584,0.207945841109788,0.195805416423993,3.62761250865421e-24,0.968278932261854
"6","NADH:ferredoxin oxidoreductase",-3.66868438745034,-2.93185925581419,-3.30027182163226,1.50000078640621e-25,0.184114651064339,-17.9250907114339,-0.782391710138997,0.251198770805143,-0.265596469666927,0.307972891278359,0.258269082543215,-1.02837113545128,4.23913265723494e-25,0.945841848000728
"7","sulfate reduction (dissimilatory)",-3.60082883609137,-2.2851398925329,-2.94298436431213,1.37453203326941e-12,0.328758616328106,-8.95180907251108,-0.12513670569932,1.72046207962686,0.797662686963772,0.0889218376729322,0.461170176986979,1.7296493285304,1.82335881964309e-12,0.945841848000728
"8","tyrosine degradation I",-2.80087850739145,-0.881091036033768,-1.84098477171261,0.000305062062653086,0.479708122362538,-3.83771857488227,-2.15299981951756,0.540005577061348,-0.806497121228104,0.235510533421187,0.672916446001934,-1.19851004685623,0.000341879897800872,0.945841848000728
"9","glycolysis (preparatory phase)",2.33053114911078,2.6256305245191,2.47808083681494,3.58205286543153e-40,0.0737381451850867,33.6064981102362,-0.167205279961779,0.246748984433776,0.0397718522359983,0.701988253899864,0.103437086594134,0.384502827231155,4.65666872506099e-39,0.968278932261854
"10","methanogenesis from carbon dioxide",-4.05143720384217,-3.05703138623586,-3.55423429503901,7.75618043326212e-21,0.24847778972792,-14.3040321588938,0.0277499068641489,1.42266485091752,0.725207378890835,0.0418206780303476,0.348555263877236,2.0806094586661,1.48279920047658e-20,0.945841848000728
"11","glycolysis (pay-off phase)",2.60071452297025,2.88708874524114,2.7439016341057,2.08974828759056e-43,0.0715579419639856,38.3451725803779,-0.380467579181512,0.0212473697504067,-0.179610104715552,0.0786957084892881,0.100378779814003,-1.78932345111548,6.79168193466931e-42,0.945841848000728
"12","phenylalanine degradation",-4.33245758324299,-3.38123479205033,-3.85684618764666,2.01102501488938e-23,0.237687403381574,-16.2265485371769,-0.274828145498039,1.05951127917749,0.392341566839724,0.244031965248761,0.333418917226671,1.17672257502113,4.84135651732629e-23,0.945841848000728
