"","feature","(Intercept) 2.5 %","(Intercept) 97.5 %","(Intercept) Estimate","(Intercept) Pr(>|t|)","(Intercept) Std. Error","(Intercept) t value","Legend_ex1CD 2.5 %","Legend_ex1CD 97.5 %","Legend_ex1CD Estimate","Legend_ex1CD Pr(>|t|)","Legend_ex1CD Std. Error","Legend_ex1CD t value","(Intercept) Pr(>|t|).BH","Legend_ex1CD Pr(>|t|).BH"
"1","Chitinispirillum alkaliphilum",-3.23833872804297,-2.42496512787518,-2.83165192795907,2.58576136262342e-20,0.203242248601515,-13.932398147744,-0.547903458685414,0.593066324359174,0.0225814328368801,0.937137481120839,0.285100554338776,0.0792051523338929,1.67974265261893e-19,0.985382947218868
"2","Catenibacterium mitsuokai",3.24158926208386,4.70605392359357,3.97382159283872,1.07033739528113e-15,0.365934044012845,10.8593929913207,-1.01117756604431,1.04311818043,0.0159703071928444,0.975285316230592,0.513318463643069,0.0311118892538983,3.84953964483085e-15,0.993260354313905
"3","Prevotella sp. MSX73",-0.834086288984603,0.682689890888334,-0.0756981990481347,0.842379686329138,0.379005418123967,-0.199728540617789,-1.66304222598247,0.46463414379374,-0.599204041094366,0.264282068217913,0.531654493827211,-1.12705534901226,0.85877637122119,0.660975496858847
"4","Dielma fastidiosa",0.946966997048039,2.01398046865954,1.48047373285379,7.04628544149539e-07,0.266620673714628,5.55273419809293,-0.773691965780331,0.723074254513854,-0.0253088556332385,0.946277331525336,0.37400541667522,-0.0676697569201685,1.20999737704368e-06,0.985382947218868
"5","Fusibacter sp. 3D3",-2.69323200657403,-2.06452036379263,-2.37887618518333,5.46464940542292e-22,0.157099723883937,-15.1424593651152,-0.239860312169264,0.642072647683276,0.201106167757006,0.365183013192244,0.220373562455484,0.912569391338082,4.72100639355093e-21,0.734099891486614
"6","Methylibium petroleiphilum",-3.40311707623387,-2.76333733283483,-3.08322720453435,3.71203834772716e-27,0.159865372605277,-19.2863980128276,-0.601564655446981,0.295894218152712,-0.152835218647134,0.498202773507477,0.224253110083922,-0.681529984533722,5.36325540585407e-26,0.805972826639509
"7","Morococcus cerebrosus",-2.09845012013128,-1.22698420574328,-1.66271716293728,2.2651804673505e-10,0.217758102774978,-7.63561558329458,-1.15257514520508,0.0698843433557841,-0.541345400924646,0.0815222424571662,0.305462846628058,-1.77221356672488,4.84240110112174e-10,0.470042088893639
"8","Haemophilus sputorum",0.677163134906128,1.97526362964675,1.32621338227644,0.000133129096581564,0.324363691429616,4.08866163913483,-2.08067607163933,-0.259749698385098,-1.17021288501221,0.0126538915153191,0.45500514223924,-2.57186738429633,0.000194698399538134,0.350093682706129
"9","Coriobacteriaceae bacterium BV3Ac1",-1.05427617125479,-0.173912681878025,-0.614094426566409,0.00705714306423164,0.219981390016468,-2.79157444418566,-0.283564952878519,0.951375718010442,0.333905382565961,0.283626390178086,0.308581590045653,1.08206514366771,0.0089198882169323,0.665076853074985
"10","Elizabethkingia anophelis",-3.2333597576672,-2.33943418788148,-2.78639697277434,3.45402470677594e-18,0.22337022353339,-12.4743438435868,-1.02321502609805,0.230750019246431,-0.39623250342581,0.21100028825981,0.313335317781321,-1.26456381052564,1.67310560940938e-17,0.631914470159882
"11","Actinomyces sp. ph3",-1.21107062744411,-0.34984392643608,-0.780457276940094,0.000600284624919447,0.215199572782331,-3.62666740853388,-0.444656059563297,0.763440246978522,0.159392093707612,0.599473474008072,0.301873837333903,0.528008969294377,0.000827365979740948,0.855246788388451
"12","Alistipes obesi",5.96307815871823,7.15385914460114,6.55846865165968,3.62159961719831e-30,0.297547160508828,22.0417786560093,-0.413909748535073,1.2564728687962,0.421281560130561,0.31693866164964,0.417387924935423,1.00932857651725,6.89750108911859e-29,0.698933153848416
"13","Bacillus acidiproducens",-2.48347324149108,-1.39585707284119,-1.93966515716614,1.58462712041286e-09,0.271768785815234,-7.13718888410108,-1.18822719825484,0.33743970773307,-0.425393745260885,0.269008736905998,0.381226993998736,-1.11585420748641,3.17683618877028e-09,0.660975496858847
"14","Clostridium amylolyticum",-2.65974206139212,-1.97785284566805,-2.31879745353009,7.4802691563852e-20,0.170387503937049,-13.6089642723259,-0.410413057222754,0.546115394603844,0.0678511686905452,0.777495844242766,0.239013158726148,0.283880473577969,4.54236634279043e-19,0.920256380615026
"15","Propionispora vibrioides",-3.12241001267467,-2.38125857798128,-2.75183429532797,1.32654635901646e-21,0.185195688808009,-14.8590623952417,-0.831573045995775,0.208086209567549,-0.311743418214113,0.2349346004304,0.259785521482964,-1.2000030503415,1.05871033224361e-20,0.652124868661077
"16","Akkermansia sp. KLE1605",-2.22795345683836,-0.346593814687522,-1.28727363576294,0.00815307043227973,0.470105943959819,-2.73826283692547,-0.151891420851852,2.48720886749148,1.16765872331981,0.0817823793582142,0.659446872602151,1.77066382726523,0.0102432878894309,0.470042088893639
"17","Bacteroides reticulotermitis",2.41094640845449,3.34757569980847,2.87926105413148,6.26365816470211e-18,0.234040843274916,12.3023871126176,-0.567467510926526,0.746400703051514,0.0894665960624941,0.786180070920054,0.3283036603596,0.272511722727973,2.89996991271843e-17,0.925307443021075
"18","Alkaliphilus transvaalensis",-2.66672247238889,-1.92042039453545,-2.29357143346217,6.33533786921434e-18,0.186482709062138,-12.299110437622,-0.406294708233571,0.640589675127894,0.117147483447162,0.655918093251375,0.261590904912946,0.44782705073843,2.91704018373715e-17,0.880864362411302
"19","Prevotella sp. 10(H)",-2.1092730183408,-1.1301791026846,-1.6197260605127,1.18340265060219e-08,0.244651718434156,-6.62053825282501,-0.563801710348973,0.809634275643279,0.122916282647153,0.721501868615868,0.34318819549309,0.358159995773012,2.24364574933175e-08,0.9051176136229
"20","Ruminococcus bicirculans",5.49587348302686,6.70603854372422,6.10095601337554,3.6654902222552e-28,0.30239076860176,20.1757349987437,-0.0705222563563277,1.62705160941355,0.778264676528612,0.0715871483121696,0.424182355531407,1.83474080517474,5.79562416273558e-27,0.470042088893639
"21","Caloranaerobacter azorensis",-2.736876793883,-2.13320195381004,-2.43503937384652,2.58239993462766e-23,0.15084363679283,-16.142804732233,-0.310546341842688,0.536265936261032,0.112859797209172,0.595781440513601,0.211597759639194,0.533369528116059,2.81045603275063e-22,0.855246788388451
"22","Peptoniphilus rhinitidis",-1.9941902733774,-1.08056890035742,-1.53737958686741,7.60939030819589e-09,0.228291724964614,-6.73427644872238,-1.26067807486573,0.0209154997775366,-0.619881287544095,0.0577029082858202,0.320239014211938,-1.93568322419906,1.4625387794193e-08,0.470042088893639
"23","Myroides injenensis",-2.01595008023481,-0.82432420953368,-1.42013714488425,1.25232657631921e-05,0.297758276643197,-4.76942962222336,-1.04822329975721,0.623344490104305,-0.212439404826453,0.612920439548771,0.417684070679493,-0.508612656644661,2.00276654762499e-05,0.862239603336061
"24","Bulleidia extructa",-1.28356205266535,-0.295928867213672,-0.789745459939512,0.00221225447380405,0.24678547393629,-3.20012943769693,-0.885100879882823,0.500313671437714,-0.192393604222554,0.580476686102045,0.346181347166366,-0.555759591894171,0.00290120383262566,0.853402566585112
"25","Atopobium sp. ICM42b",-1.83988823309885,-1.02962319103726,-1.43475571206806,1.93158919319411e-09,0.202465495656395,-7.08642086107843,-0.115979428670521,1.0206297864047,0.452325178867091,0.116586574354346,0.284010954628274,1.59263285973992,3.84482599500394e-09,0.532975500132045
"26","Cloacibacillus porcorum",-0.461212113401703,0.695734367980973,0.117261127289635,0.68649075982153,0.28909274205521,0.405617679835217,0.256437347814344,1.8793581994194,1.06789777361687,0.010778036874529,0.405528385866534,2.63334901041511,0.7093455693347,0.347384419263666
"27","Prevotella sp. RM4",-2.37126859253956,-0.996179586307736,-1.68372408942365,7.82387934064135e-06,0.343601244982778,-4.90022697533602,-1.94907326596423,-0.0201503149566523,-0.984611790460442,0.0455477862719019,0.4819908561834,-2.04280180387031,1.26327762764113e-05,0.470042088893639
"28","Anaerovibrio sp. RM50",-2.50589998318427,-1.73364688523069,-2.11977343420748,6.76944095125164e-16,0.19296723680876,-10.9851468532364,-0.858825701188946,0.224461793568498,-0.317181953810224,0.246001274519075,0.270687155657602,-1.17176580853889,2.51008474210127e-15,0.660975496858847
"29","Ruminobacter sp. RM87",-3.16860961731156,-2.4046694485818,-2.78663953294668,3.02809390463715e-21,0.190890038301743,-14.598140153033,-1.01494680743928,0.0566796239998809,-0.479133591719701,0.0786954198176068,0.267773340002161,-1.78932522451949,2.22591464218064e-20,0.470042088893639
"30","Bacillus thermotolerans",-2.89392712068033,-2.19880444403859,-2.54636578235946,2.48763762954859e-21,0.173694223448395,-14.6600487443153,-1.00666694471952,-0.03157509345501,-0.519121019087265,0.0373020757179383,0.243651700034436,-2.13058648478092,1.8448144544794e-20,0.453031006545396
"31","Capnocytophaga sp. oral taxon 863",-1.72636937049473,-0.686657410083502,-1.20651339028911,1.95719231798942e-05,0.259798691140546,-4.64403182707497,-0.928507289870325,0.529961401091042,-0.199272944389641,0.586579372255046,0.364435797036866,-0.546798492381589,3.05424052602446e-05,0.855111534842156
"32","Megasphaera massiliensis",-2.46246568499772,-1.00114848118016,-1.73180708308894,1.3776039011846e-05,0.365147571008806,-4.74275942272987,-1.67386378868484,0.376016822949316,-0.648923482867764,0.210170779413772,0.512215229000828,-1.26689611344358,2.1947377741306e-05,0.631914470159882
"33","Enorma timonensis",0.780105268824488,1.66537201886441,1.22273864384445,7.74371069449601e-07,0.221206595410953,5.5275867411316,-0.294514973003031,0.947303806855646,0.326394416926308,0.297149998417331,0.310300261923918,1.05186639193471,1.32433256367095e-06,0.674828451690308
"34","Leuconostoc gelidum",-2.56933764374969,-1.55331589346165,-2.06132676860567,3.4391700684473e-11,0.253879084733005,-8.11932487772079,-1.34682991254871,0.0784070459111937,-0.634211433318758,0.0800880163949164,0.356131996621992,-1.78083249843997,7.93946148032738e-11,0.470042088893639
"35","Leuconostoc mesenteroides",-2.3779570679675,-1.22849694164411,-1.8032270048058,4.44699146693517e-08,0.287222084296262,-6.27816279943789,-0.829735709212761,0.782683566110478,-0.0235260715511414,0.953634331974346,0.402904297775972,-0.0583912151868447,8.19028318525643e-08,0.985382947218868
"36","Leuconostoc carnosum",-2.70721103232333,-1.67112783065258,-2.18916943148795,9.31108068829901e-12,0.258891952729199,-8.45591919103729,-1.31103468509337,0.142343720085439,-0.584345482503964,0.112945765892809,0.36316385862104,-1.60904084652797,2.24215103930878e-11,0.532975500132045
"37","Acetobacter sp. CAG:267",-1.51946149955701,1.26918761273694,-0.125136943410039,0.858094472192487,0.696815480642989,-0.179584046115865,-2.0130495788326,1.89876212981534,-0.0571437245086316,0.953578936090406,0.97746645281741,-0.0584610595523999,0.871615960845217,0.985382947218868
"38","Acinetobacter sp. CAG:196",-2.63519000844608,0.180135519830512,-1.22752724430778,0.0862034694765277,0.703481267149734,-1.7449323836032,0.674642481029209,4.6238748590348,2.649258670032,0.00941078166741512,0.986816966508601,2.68465050758621,0.0993652096579508,0.325499415030218
"39","Akkermansia sp. CAG:344",-0.98944267083903,1.41770395866965,0.21413064391531,0.723108946375176,0.601487303735915,0.356001934846035,-0.314192401753405,3.06246202501978,1.37413481163319,0.108722906353691,0.843743684705361,1.62861641105265,0.744429111870268,0.529277072684688
"40","Alistipes sp. CAG:435",-0.229744097117882,2.40789432860052,1.08907511574132,0.103762922346503,0.659081588743692,1.65241319791266,-2.07429308976414,1.62568652811521,-0.224303280824466,0.809147370432822,0.924534773642074,-0.242612054429121,0.118465025785245,0.940376356900221
"41","Alistipes sp. CAG:514",1.38264754225249,3.36764821589593,2.37514787907421,1.16934848589015e-05,0.496003312996129,4.78857260998325,-1.75075094810417,1.03373306696971,-0.358508940567233,0.608292567002434,0.695774724310995,-0.515265829643716,1.87364059498268e-05,0.861062789101418
"42","Anaerotruncus sp. CAG:390",3.34975536988255,4.4579565084517,3.90385593916712,1.50976322571789e-20,0.276912468340611,14.0977976273905,-0.248519062549659,1.30602366219843,0.528752299824387,0.178623155621534,0.388442357681328,1.36121174575448,1.01214526652127e-19,0.600037763310897
"43","Azospirillum sp. CAG:260",-1.22310141473219,1.66816101348013,0.222529799373971,0.759153107216112,0.722456048592825,0.308018459818291,-1.05179297129549,3.0039608234697,0.976083926087105,0.339405831413819,1.01343407365589,0.963144965676903,0.776764717762029,0.723720322454912
"44","Bacillus sp. CAG:988",-1.13201598784836,-0.146634900878538,-0.639325444363451,0.0118683119791159,0.246222729387624,-2.59653300876611,-0.306965702546005,1.07528969003653,0.38416199374526,0.270542476637929,0.345391950356009,1.1122494121513,0.0146690935671079,0.660975496858847
