"","feature","anovas.Treatment DenDF","anovas.Treatment F value","anovas.Treatment Mean Sq","anovas.Treatment NumDF","anovas.Treatment Pr(>F)","anovas.Treatment Sum Sq","anovas.visit DenDF","anovas.visit F value","anovas.visit Mean Sq","anovas.visit NumDF","anovas.visit Pr(>F)","anovas.visit Sum Sq","anovas.visit:Treatment DenDF","anovas.visit:Treatment F value","anovas.visit:Treatment Mean Sq","anovas.visit:Treatment NumDF","anovas.visit:Treatment Pr(>F)","anovas.visit:Treatment Sum Sq","coefs.(Intercept) 2.5 %","coefs.(Intercept) 97.5 %","coefs.(Intercept) df","coefs.(Intercept) Estimate","coefs.(Intercept) Pr(>|t|)","coefs.(Intercept) Std. Error","coefs.(Intercept) t value","coefs.TreatmentDECAF 2.5 %","coefs.TreatmentDECAF 97.5 %","coefs.TreatmentDECAF df","coefs.TreatmentDECAF Estimate","coefs.TreatmentDECAF Pr(>|t|)","coefs.TreatmentDECAF Std. Error","coefs.TreatmentDECAF t value","coefs.visitV4 2.5 %","coefs.visitV4 97.5 %","coefs.visitV4 df","coefs.visitV4 Estimate","coefs.visitV4 Pr(>|t|)","coefs.visitV4 Std. Error","coefs.visitV4 t value","coefs.visitV4:TreatmentDECAF 2.5 %","coefs.visitV4:TreatmentDECAF 97.5 %","coefs.visitV4:TreatmentDECAF df","coefs.visitV4:TreatmentDECAF Estimate","coefs.visitV4:TreatmentDECAF Pr(>|t|)","coefs.visitV4:TreatmentDECAF Std. Error","coefs.visitV4:TreatmentDECAF t value","anovas.Treatment Pr(>F).BH","anovas.visit Pr(>F).BH","anovas.visit:Treatment Pr(>F).BH","coefs.(Intercept) Pr(>|t|).BH","coefs.TreatmentDECAF Pr(>|t|).BH","coefs.visitV4 Pr(>|t|).BH","coefs.visitV4:TreatmentDECAF Pr(>|t|).BH"
"1","p-Cresol synthesis",31.0000000498171,1.33523869817319,0.286176911775012,1,0.256704245219263,0.286176911775012,30.9999997089696,0.175259677828542,0.037562776923913,1,0.678365385664379,0.037562776923913,30.9999997137978,2.24308357145869,0.480752040973315,1,0.144327260860213,0.480752040973315,2.34343999028025,2.84238282151391,60.194656567898,2.59291140589708,1.07769955244803e-28,0.12728367336575,20.3711233132496,-0.696784098086669,0.0204914144849542,60.1946565675621,-0.338146341800857,0.0695200456425761,0.182981809418285,-1.84797791034996,-0.447757177771473,0.193852541649967,30.9999997134356,-0.126952318060753,0.443851740327834,0.163678956471235,-0.775617836267568,-0.108773958901127,0.813598127758693,30.9999997137978,0.352412084428783,0.144327260860213,0.235303325452757,1.49769274935105,0.878278346985876,0.894208917466682,0.337925791562505,3.90666087762411e-28,0.582577726697455,0.940443775337402,0.337925791562505
"2","Inositol degradation",30.9999998190186,0.948618091081342,0.435547058452839,1,0.337610533294894,0.435547058452839,31.0000000870561,0.0338527279408817,0.0155430896942392,1,0.855218706587263,0.0155430896942392,31.0000000885298,0.943084621876643,0.433006429871321,1,0.339002570590419,0.433006429871321,-0.99793548422458,0.06942260778519,45.0674446700427,-0.464256438219695,0.095078484710463,0.272290230950404,-1.70500585569762,-0.592058608437709,0.942365326767095,45.0674446790335,0.175153359164693,0.65668858055663,0.391441870184387,0.447456883143819,-0.668453109273661,0.270631957020771,31.0000000879133,-0.198910576126445,0.412722425628637,0.2395669190102,-0.830292333132923,-0.340555149280345,1.00946469289121,31.0000000885298,0.334454771805434,0.339002570590419,0.344399145295613,0.971125440855425,0.878278346985876,0.918568240408542,0.578298502771891,0.095078484710463,0.691897363820415,0.940443775337402,0.578298502771891
"3","p-Cresol degradation",61.9999999976922,0.397810572732973,0.195623703709197,1,0.530540301770387,0.195623703709197,61.9999999976921,0.763024600315701,0.375218027287527,1,0.38575445025712,0.375218027287527,61.9999999976922,0.22751186854809,0.111879164139391,1,0.635051917223929,0.111879164139391,-3.59909416893992,-2.91188226585602,61.9999999977875,-3.25548821739797,5.14010101946746e-27,0.175312380356104,-18.5696424336104,-0.296560359411066,0.691368996765992,61.9999999976922,0.197404318677463,0.436453230935418,0.252027426006222,0.783265225557591,-0.556598061710655,0.415266331854827,61.9999999977875,-0.0706658649279141,0.776575374560078,0.247929145951514,-0.285024435738322,-0.868577774626921,0.528565319545194,61.9999999976922,-0.170006227540864,0.635051917223929,0.356420603947981,-0.476982042165205,0.878278346985876,0.728781234033906,0.767354399978914,1.09962263114222e-26,0.691897363820415,0.940443775337402,0.767354399978914
"4","g-Hydroxybutyric acid (GHB) degradation",62.0000000007586,0.187773506345225,0.0997943138021551,1,0.66628012529963,0.0997943138021551,62.0000000007585,0.521085467654651,0.276936654637878,1,0.473092787025954,0.276936654637878,62.0000000007586,4.1802080044246,2.22161793466684,1,0.045150632790766,2.22161793466684,-3.20762238804974,-2.49320200731534,62.0000000003777,-2.85041219768254,3.40070820851617e-23,0.182253446075964,-15.6398260721747,-0.215016200527307,0.81202780673072,62.0000000007586,0.298505803101707,0.258956722329386,0.262005836678434,1.13930974548506,-0.260121280224554,0.750221711445789,62.0000000003777,0.245050215610617,0.345425149340894,0.257745295229861,0.950745639768429,-1.48380351875504,-0.0313439545367228,62.0000000007586,-0.757573736645879,0.045150632790766,0.370532207651551,-2.04455569853809,0.878278346985876,0.728781234033906,0.23549516418837,6.5747025364646e-23,0.691897363820415,0.940443775337402,0.23549516418837
"5","Quinolinic acid degradation",31.0000002222261,0.00196481790371658,0.000375478085087447,1,0.964928635468601,0.000375478085087447,30.9999995651682,1.48515816521353,0.283814771267884,1,0.23216237750875,0.283814771267884,30.9999995647176,4.57324681233844,0.873950686463618,1,0.0404632141982916,0.873950686463618,2.4909450086003,2.9801591504818,58.8030482008291,2.73555207954105,5.5434902597227e-30,0.124801819252893,21.9191682935153,-0.582976711019119,0.120312929414671,58.803048203146,-0.231331890802224,0.202316351784584,0.17941391933251,-1.2893753821491,-0.405113768409995,0.200735010540672,30.9999995648901,-0.102189378934662,0.513381399442111,0.154556099941,-0.66117984973528,0.0396719843197356,0.910634479939245,30.9999995647176,0.47515323212949,0.0404632141982916,0.222188392870877,2.13851509518601,0.994457250416997,0.728781234033906,0.23549516418837,2.67935362553264e-29,0.691897363820415,0.940443775337402,0.23549516418837
"6","Propionate synthesis III",30.9999997161226,0.024632560459356,0.00441403403374087,1,0.876303860241097,0.00441403403374087,31.000000181723,1.64738844597606,0.295203930558827,1,0.208826619820492,0.295203930558827,31.0000001808996,3.92129892807726,0.702677537463646,1,0.056613152145307,0.702677537463646,2.90613699385531,3.4815959452563,50.3774219345271,3.1938664695558,2.8616046457243e-27,0.14680345045627,21.7560722151228,-0.598169588466816,0.229104777434993,50.3774219309741,-0.184532405515911,0.386059797872158,0.211043257025957,-0.87438190689606,-0.368288321529829,0.218384748315965,31.0000001810816,-0.0749517866069321,0.620049563724485,0.149664247525311,-0.500799541949767,0.00435970520926932,0.84775538211507,31.0000001808996,0.42605754366217,0.056613152145307,0.215155911934709,1.9802269890286,0.97741584411507,0.728781234033906,0.23549516418837,7.54423042963679e-27,0.691897363820415,0.940443775337402,0.23549516418837
"7","Isovaleric acid synthesis I (KADH pathway)",61.9999999983967,2.0919010863528,10.5305941907326,1,0.153118413623053,10.5305941907326,61.9999999983967,0.5107950908693,2.57133372684516,1,0.477477360229111,2.57133372684516,61.9999999983967,1.70307095479609,8.5732299772593,1,0.196709666967007,8.5732299772593,-3.23069425375418,-1.03195382916258,61.9999999985792,-2.13132404145838,0.000332643684682827,0.56091347645543,-3.7997376260717,-0.0116599819247767,3.14922853342161,61.9999999983967,1.56878427574842,0.0562517337117197,0.806363928184159,1.9455040347367,-1.21815338380705,1.89133514478836,61.9999999985792,0.336590880490655,0.67280265647274,0.793251445721111,0.4243180170755,-3.72328968087691,0.746881726675304,61.9999999983967,-1.48820397710081,0.196709666967007,1.14037080344648,-1.30501760708279,0.878278346985876,0.728781234033906,0.3565362713777,0.000385866674232079,0.582577726697455,0.940443775337402,0.3565362713777
"8","Propionate degradation I",61.999999998239,0.0604826049179733,0.0363348964371414,1,0.806547127535969,0.0363348964371414,61.999999998239,2.17222871766443,1.30496537973461,1,0.14558194981381,1.30496537973461,61.999999998239,4.65888795856863,2.79882474831259,1,0.0347729988123008,2.79882474831259,-3.21696154372898,-2.45739677057372,61.9999999981518,-2.83717915715135,8.59544768976391e-22,0.193770084334869,-14.6419875229461,-0.169257820873522,0.922685339526646,61.999999998239,0.376713759326562,0.181175098775193,0.278562047316501,1.35235134489998,-0.402246109384599,0.671940694312418,61.9999999981518,0.13484729246391,0.624396869660161,0.27403228124855,0.49208542821859,-1.62243196020452,-0.078191133426066,61.999999998239,-0.850311546815295,0.0347729988123008,0.393946225277411,-2.1584457275013,0.935594667941724,0.728781234033906,0.23549516418837,1.35765702800538e-21,0.691897363820415,0.940443775337402,0.23549516418837
"9","Isovaleric acid synthesis II (KADC pathway)",30.9999988995,0.205753362856804,0.0514058935593898,1,0.653275990448529,0.0514058935593898,31.0000005087275,0.428459023067756,0.107047188092425,1,0.517573498007019,0.107047188092425,31.0000005088796,3.82705840559244,0.956161077087094,1,0.0594928202850086,0.956161077087094,1.49183166998715,2.32666042025151,43.3574509774128,1.90924604511933,1.98219643655346e-11,0.212970431306234,8.96484095660208,-0.722211397331353,0.477930547337596,43.3574509779959,-0.122140424996878,0.691897363820415,0.306164285194911,-0.398937534203642,-0.511719053506769,0.181014268171778,31.0000005091578,-0.165352392667496,0.356675531761091,0.176720931390255,-0.935669540482139,-0.000934173869484745,0.994932721650113,31.0000005088796,0.496999273890314,0.0594928202850086,0.254052345699939,1.95628689245531,0.878278346985876,0.750481572110178,0.23549516418837,2.61289530272956e-11,0.691897363820415,0.940443775337402,0.23549516418837
"10","S-Adenosylmethionine (SAM) synthesis",30.9999999980829,0.00106254412608884,0.000170944923561611,1,0.974205186224722,0.000170944923561611,30.9999998542359,2.02184710097165,0.325280136271692,1,0.165034273461132,0.325280136271692,30.9999998538232,1.84822493773709,0.297347341111473,1,0.183797558805196,0.297347341111473,3.65165508094077,4.07546415471526,60.8116788526499,3.86355961782802,1.58815367822211e-42,0.10811654630326,35.7351372193392,-0.439384610654449,0.169879320190051,60.8116788497279,-0.134752645232199,0.389360191616197,0.155427328167838,-0.866981674462594,-0.27158136696135,0.284307159096968,30.9999998540263,0.0063628960678086,0.964499611884597,0.141810903272483,0.0448688776460482,-0.122415349714661,0.676724757129438,30.9999998538232,0.277154703707389,0.183797558805196,0.203866018240033,1.35949436840948,0.994457250416997,0.728781234033906,0.3565362713777,4.6056456668441e-41,0.691897363820415,0.998653871565246,0.3565362713777
