"","feature","anovas.Treatment DenDF","anovas.Treatment F value","anovas.Treatment Mean Sq","anovas.Treatment NumDF","anovas.Treatment Pr(>F)","anovas.Treatment Sum Sq","anovas.visit DenDF","anovas.visit F value","anovas.visit Mean Sq","anovas.visit NumDF","anovas.visit Pr(>F)","anovas.visit Sum Sq","anovas.visit:Treatment DenDF","anovas.visit:Treatment F value","anovas.visit:Treatment Mean Sq","anovas.visit:Treatment NumDF","anovas.visit:Treatment Pr(>F)","anovas.visit:Treatment Sum Sq","coefs.(Intercept) 2.5 %","coefs.(Intercept) 97.5 %","coefs.(Intercept) df","coefs.(Intercept) Estimate","coefs.(Intercept) Pr(>|t|)","coefs.(Intercept) Std. Error","coefs.(Intercept) t value","coefs.TreatmentDECAF 2.5 %","coefs.TreatmentDECAF 97.5 %","coefs.TreatmentDECAF df","coefs.TreatmentDECAF Estimate","coefs.TreatmentDECAF Pr(>|t|)","coefs.TreatmentDECAF Std. Error","coefs.TreatmentDECAF t value","coefs.visitV4 2.5 %","coefs.visitV4 97.5 %","coefs.visitV4 df","coefs.visitV4 Estimate","coefs.visitV4 Pr(>|t|)","coefs.visitV4 Std. Error","coefs.visitV4 t value","coefs.visitV4:TreatmentDECAF 2.5 %","coefs.visitV4:TreatmentDECAF 97.5 %","coefs.visitV4:TreatmentDECAF df","coefs.visitV4:TreatmentDECAF Estimate","coefs.visitV4:TreatmentDECAF Pr(>|t|)","coefs.visitV4:TreatmentDECAF Std. Error","coefs.visitV4:TreatmentDECAF t value","anovas.Treatment Pr(>F).BH","anovas.visit Pr(>F).BH","anovas.visit:Treatment Pr(>F).BH","coefs.(Intercept) Pr(>|t|).BH","coefs.TreatmentDECAF Pr(>|t|).BH","coefs.visitV4 Pr(>|t|).BH","coefs.visitV4:TreatmentDECAF Pr(>|t|).BH"
"1","ribose degradation",30.9999962308512,0.694573691244084,2.74860309540537,1,0.41098867038517,2.74860309540537,30.9999815161032,1.20141396569785e-05,4.75429776078276e-05,1,0.997256634128389,4.75429776078276e-05,30.9999815115209,0.109956040355618,0.435123755319093,1,0.742425599945874,0.435123755319093,-2.29859926727943,-0.231596528212751,61.2521495185286,-1.26509789774609,0.0194899453049687,0.52730630648597,-2.39917080866498,-1.18262611937314,1.78887754064575,61.2521495199708,0.303125710636305,0.690639446096788,0.758050577321248,0.399875311364411,-1.54786636984243,1.20909032335093,30.999981513985,-0.169388023245751,0.811263949822862,0.703318202512874,-0.240841233229209,-1.6464159942759,2.31695896866039,30.9999815115209,0.335271487192244,0.742425599945874,1.01108362046417,0.331596200755706,0.894329846518822,0.997372556351953,0.852256703020939,0.0212991606655808,0.970090321516503,0.990296872583251,0.852256703020939
"2","glycerol degradation II",30.9999994224628,3.36414700573763,0.852234485547346,1,0.0762452720192753,0.852234485547346,31.0000003822125,0.565790538745192,0.143330897220807,1,0.45761019572913,0.143330897220807,31.0000003832205,2.43777383627111,0.617557713052364,1,0.128596289106021,0.617557713052364,1.44133883890448,2.10997666194694,51.3339966290964,1.77565775042571,2.97710986819734e-14,0.170574007562536,10.4098964185661,-0.296593863279725,0.664633570455983,51.3339966289039,0.184019853588129,0.456415164666893,0.245215585928555,0.750441098151665,-0.45227228495267,0.245277425066842,31.0000003831901,-0.103497429942914,0.565034527677767,0.177949624462923,-0.581610836523447,-0.101976188411994,0.900814701601055,31.0000003832205,0.399419256594531,0.128596289106021,0.255818703283054,1.56133719492975,0.826514996001381,0.848734736994899,0.663862994941832,4.71980832762993e-14,0.948530345997309,0.990296872583251,0.663862994941832
"3","glycerol degradation I",31.0000000257199,0.172445642704274,0.579824030506611,1,0.680807638381758,0.579824030506611,30.9999999542319,1.29729915562962,4.3619845267992,1,0.263432518418269,4.3619845267992,30.9999999542438,3.37394790418512,11.3444215919029,1,0.0758397366622638,11.3444215919029,-3.62469139871061,-1.56038838920756,58.5635573532008,-2.59253989395909,7.29720352608176e-06,0.526617587309259,-4.92300287046168,-2.58753449251654,0.38008806172161,58.5635573528031,-1.10372321539746,0.150208461486979,0.757060481122708,-1.45790626101716,-2.65736845988984,-0.116073437472231,30.999999954568,-1.38672094868104,0.0404202242904377,0.648301459226553,-2.13900636647563,-0.114759020393418,3.53858275684652,30.9999999542438,1.71191186822655,0.0758397366622638,0.931992068746425,1.83683094055635,0.894329846518822,0.848734736994899,0.645228471210986,8.94940055085499e-06,0.948530345997309,0.976452996309958,0.645228471210986
"4","tyrosine degradation II",30.9999949768535,0.104241720230778,0.053170741884013,1,0.748965286472362,0.053170741884013,30.9999947718206,1.21373758271232,0.619093080797689,1,0.279073687344683,0.619093080797689,30.9999946519909,0.659847676715081,0.33656956565673,1,0.422808069831078,0.33656956565673,-4.29966345857118,-3.59735347572029,61.9970808551426,-3.94850846714573,5.00563353479184e-31,0.179164002091524,-22.0385145512025,-0.41638646123312,0.593247752145588,61.9970808573678,0.088430645456234,0.732508768279612,0.257564481118677,0.343334007360619,-0.547425121222356,0.442377656775972,30.999994765969,-0.0525237322231922,0.836581450872328,0.252505348518076,-0.208010374954224,-1.00633357392691,0.416597572669891,30.9999946519909,-0.294868000628511,0.422808069831078,0.362999309635458,-0.812310086552593,0.894329846518822,0.848734736994899,0.663862994941832,3.25366179761469e-30,0.970090321516503,0.990296872583251,0.663862994941832
"5","aspartate degradation I",30.9999998852346,0.0630686233653148,0.0124460761189862,1,0.803367229750804,0.0124460761189862,31.0000001039304,1.00050405002181,0.197441277444684,1,0.324932738583411,0.197441277444684,31.000000103176,0.793250754819981,0.156541537600176,1,0.379979521134059,0.156541537600176,2.45001442700747,2.99725284846018,54.6352893944301,2.72363363773382,2.74436768933487e-26,0.139604203385689,19.5096821705945,-0.535571694017965,0.251133103956289,54.6352893925653,-0.142219295030838,0.481561560275557,0.200693687276828,-0.708638607225684,-0.295457409921696,0.320205008272547,31.000000103746,0.0123737991754256,0.937710727322401,0.157059625342738,0.0787840869250977,-0.241438509501334,0.643631981419409,31.000000103176,0.201096735959038,0.379979521134059,0.225787437397336,0.890646256838247,0.894329846518822,0.848734736994899,0.663862994941832,9.91021665593149e-26,0.948530345997309,0.990296872583251,0.663862994941832
"6","NADH:ferredoxin oxidoreductase",61.9999999992365,0.188171873066036,0.19170550846721,1,0.665948245100546,0.19170550846721,61.9999999992364,2.52959922601653,2.57710197565806,1,0.116815179746003,2.57710197565806,61.9999999992365,0.0660009577555487,0.0672403742370679,1,0.798101592087484,0.0672403742370679,-4.25717229338133,-3.26803167224884,61.9999999992017,-3.76260198281508,3.55401375112995e-22,0.252336427846302,-14.9110535285333,-0.533821298923687,0.888157937202375,61.9999999992365,0.177168319139344,0.626993316864654,0.362756470869479,0.488394648659734,-1.04149751209141,0.357358569408289,61.9999999992017,-0.342069471341563,0.341503558386501,0.35685759854102,-0.958560144831112,-1.1372880877404,0.873694233402009,61.9999999992365,-0.131796927169197,0.798101592087484,0.513015120942217,-0.256906515595749,0.894329846518822,0.848734736994899,0.866275318310946,8.88503437782488e-22,0.970090321516503,0.990296872583251,0.866275318310946
"7","sulfate reduction (dissimilatory)",30.9999794132534,0.0827413286184394,0.342603140604599,1,0.775530522995812,0.342603140604599,30.9999765410015,0.294489328496474,1.21937815722899,1,0.591238425078107,1.21937815722899,30.9999765700052,0.811806182236856,3.36140780237114,1,0.374533715249471,3.36140780237114,-4.19701113013799,-2.18753441825147,61.9856406167672,-3.19227277419473,4.58354632460091e-08,0.512631029890604,-6.22723282060386,-0.827441084728637,2.06136370069205,61.9856406163047,0.616961307981706,0.405708726665785,0.736953537974986,0.837178025736878,-0.663502616401528,2.15661692505939,30.9999765551148,0.74655715432893,0.307434602422161,0.719431470094772,1.03770433371588,-2.95894897331207,1.09522830510108,30.9999765700052,-0.931860334105498,0.374533715249471,1.03424790210228,-0.901002875820525,0.894329846518822,0.848734736994899,0.663862994941832,5.95861022198119e-08,0.948530345997309,0.990296872583251,0.663862994941832
"8","tyrosine degradation I",30.9999997586704,1.02848722753324,6.45098305587473,1,0.318364608157698,6.45098305587473,30.9999974915978,0.249600681538881,1.56557099032139,1,0.620884026800101,1.56557099032139,30.9999974916201,0.228275642083957,1.43181389105286,1,0.636157239343266,1.43181389105286,-4.34480412152216,-1.71757573269009,61.0113732848042,-3.03118992710613,2.87415131077242e-05,0.6702236391983,-4.5226544541639,-0.85075036075211,2.92612841428282,61.0113732837402,1.03768902676535,0.28572420940085,0.963507188097961,1.07699147404788,-1.74935464465384,1.721581247993,30.9999974916277,-0.0138866983304201,0.987587752939612,0.885459100275604,-0.0156830488569125,-3.10307429213323,1.88671044000895,30.9999974916201,-0.608181926062141,0.636157239343266,1.27292765874806,-0.477782002679001,0.894329846518822,0.848734736994899,0.827004411146246,3.45962657778162e-05,0.948530345997309,0.990296872583251,0.827004411146246
"9","glycolysis (preparatory phase)",31.0000000183837,0.184588612353473,0.0249330929539226,1,0.670430817774688,0.0249330929539226,30.9999999124048,0.529829535241949,0.0715661106256351,1,0.472141055506842,0.0715661106256351,30.9999999076524,3.7063625666817,0.500632629596097,1,0.0634228373952069,0.500632629596097,2.47735118474706,2.87421138648916,60.1295937561635,2.67578128561811,8.47030303598014e-35,0.101241707723326,26.4296340489485,-0.417116487823025,0.153405998530795,60.12959375708,-0.131855244646115,0.368579998280431,0.145544125007915,-0.905946871018972,-0.366503750632908,0.14284907383541,30.9999999101484,-0.111827338398749,0.396059339358248,0.129939332683158,-0.860611918574545,-0.00649547244846277,0.725745348302444,30.9999999076524,0.359624937926991,0.0634228373952069,0.186799560228333,1.92519156622963,0.894329846518822,0.848734736994899,0.645228471210986,2.75284848669355e-33,0.948530345997309,0.990296872583251,0.645228471210986
"10","methanogenesis from carbon dioxide",30.9999997131461,0.629131026633762,0.489302574842963,1,0.433703408531732,0.489302574842963,31.0000001240575,0.435820377330235,0.338956471337495,1,0.514022395131689,0.338956471337495,31.0000001242507,1.23574732837105,0.961094468448868,1,0.274839528594069,0.961094468448868,-3.29478073064654,-1.64511655112185,40.6182872166468,-2.4699486408842,6.85540001876501e-07,0.420840431900033,-5.86908589018584,-1.38235960097757,0.989182078484868,40.6182872204305,-0.196588761246353,0.746892653684167,0.604996239259716,-0.324942121106245,-0.509928660166316,0.712296703374731,31.000000124158,0.101184021604208,0.747725664693961,0.311797913936635,0.324517955642162,-1.37680961123151,0.380250054190137,31.0000001242507,-0.498279778520686,0.274839528594069,0.448237742958827,-1.11164172662376,0.894329846518822,0.848734736994899,0.663862994941832,8.56925002345626e-07,0.970090321516503,0.990296872583251,0.663862994941832
