"","feature","anovas.Treatment DenDF","anovas.Treatment F value","anovas.Treatment Mean Sq","anovas.Treatment NumDF","anovas.Treatment Pr(>F)","anovas.Treatment Sum Sq","anovas.visit DenDF","anovas.visit F value","anovas.visit Mean Sq","anovas.visit NumDF","anovas.visit Pr(>F)","anovas.visit Sum Sq","anovas.visit:Treatment DenDF","anovas.visit:Treatment F value","anovas.visit:Treatment Mean Sq","anovas.visit:Treatment NumDF","anovas.visit:Treatment Pr(>F)","anovas.visit:Treatment Sum Sq","coefs.(Intercept) 2.5 %","coefs.(Intercept) 97.5 %","coefs.(Intercept) df","coefs.(Intercept) Estimate","coefs.(Intercept) Pr(>|t|)","coefs.(Intercept) Std. Error","coefs.(Intercept) t value","coefs.TreatmentDECAF 2.5 %","coefs.TreatmentDECAF 97.5 %","coefs.TreatmentDECAF df","coefs.TreatmentDECAF Estimate","coefs.TreatmentDECAF Pr(>|t|)","coefs.TreatmentDECAF Std. Error","coefs.TreatmentDECAF t value","coefs.visitV4 2.5 %","coefs.visitV4 97.5 %","coefs.visitV4 df","coefs.visitV4 Estimate","coefs.visitV4 Pr(>|t|)","coefs.visitV4 Std. Error","coefs.visitV4 t value","coefs.visitV4:TreatmentDECAF 2.5 %","coefs.visitV4:TreatmentDECAF 97.5 %","coefs.visitV4:TreatmentDECAF df","coefs.visitV4:TreatmentDECAF Estimate","coefs.visitV4:TreatmentDECAF Pr(>|t|)","coefs.visitV4:TreatmentDECAF Std. Error","coefs.visitV4:TreatmentDECAF t value","anovas.Treatment Pr(>F).BH","anovas.visit Pr(>F).BH","anovas.visit:Treatment Pr(>F).BH","coefs.(Intercept) Pr(>|t|).BH","coefs.TreatmentDECAF Pr(>|t|).BH","coefs.visitV4 Pr(>|t|).BH","coefs.visitV4:TreatmentDECAF Pr(>|t|).BH"
"1","Desulfotomaculum gibsoniae",31.0000000080862,3.56228948918081,2.45407768074655,1,0.0684999019095492,2.45407768074655,30.9999999822867,2.70555474875371,1.86386916142551,1,0.110103477180323,1.86386916142551,30.9999999820645,0.0158054581287644,0.0108884530989352,1,0.900765574489955,0.0108884530989352,-2.96700018881897,-2.02804131895378,58.3643603910445,-2.49752075388638,5.98417958292692e-15,0.239534725451994,-10.426549842298,-1.16213234205642,0.187706081317636,58.3643603897775,-0.48721313036939,0.162421173269353,0.3443528641397,-1.41486591548062,-0.895584696060112,0.254719333861584,30.9999999815035,-0.320432681099264,0.283269669019198,0.293450297810355,-1.09194873370463,-0.879869428904877,0.773796805030635,30.9999999820645,-0.0530363119371209,0.900765574489955,0.421861382907906,-0.125719760295526,0.995312010697234,0.708664226044122,0.998349451048352,3.60772841042644e-14,0.996998987217015,0.97957269651223,0.998349451048352
"2","Prevotella sp. MSX73",30.9999988509692,0.00215050577233005,0.000904591712812189,1,0.963309980164995,0.000904591712812189,31.0000004292116,0.631211801770613,0.26551380250065,1,0.432951670048323,0.26551380250065,31.0000004292929,1.61165800251793,0.677930044049851,1,0.213706973007439,0.677930044049851,-1.5528485877252,0.130300803663181,35.7319003967811,-0.711273892031009,0.10637683678148,0.429382734750446,-1.65650324166945,-1.3914977031253,1.02818200137643,35.7319003997806,-0.181657850874434,0.770239793977533,0.617276573342125,-0.294289235521904,-0.527721285017052,0.371132578039906,31.0000004294184,-0.0782943534885731,0.735073077145659,0.229303668370185,-0.341443964002249,-0.227604254015964,1.0645795894858,31.0000004292929,0.418487667734919,0.213706973007439,0.329644792887611,1.26951093044445,0.996637828315718,0.890411766190984,0.924770406090505,0.124851245410196,0.997002434933661,0.97957269651223,0.924770406090505
"3","Dielma fastidiosa",30.9999984842699,0.206313360858714,0.0986958879913827,1,0.652836857442476,0.0986958879913827,31.0000006280391,0.00277669692269071,0.00132831226890619,1,0.958313530965333,0.00132831226890619,31.0000006278901,0.28924395053514,0.138368103865802,1,0.594545784751638,0.138368103865802,0.702231160942877,2.0622242199888,39.6187067027749,1.38222769046584,0.000282091945074768,0.346943380024678,3.98401517379442,-1.09503709907624,0.860076107198459,39.6187066920582,-0.117480495938889,0.814999916560275,0.498762533826228,-0.235543947212001,-0.394009860424713,0.564549352642755,31.0000006275847,0.0852697461090214,0.729670499729369,0.244534904883064,0.348701737078382,-0.878071574702561,0.499944117362233,31.0000006278901,-0.189063728670164,0.594545784751638,0.351541074972399,-0.537814048287268,0.995312010697234,0.990247522199416,0.97777360813,0.000422130446379742,0.997002434933661,0.97957269651223,0.97777360813
"4","Ralstonia mannitolilytica",30.9999999116354,1.13971328054923,0.384159481261226,1,0.293956474965271,0.384159481261226,31.0000000391376,2.2849920999543,0.770194920762375,1,0.140758842679916,0.770194920762375,31.0000000385612,1.95407971219253,0.658655349016563,1,0.172071162599707,0.658655349016563,-3.87761392439235,-2.82690627333512,41.3459307772076,-3.35226009886373,1.22466664745288e-15,0.268042591431544,-12.506445639703,-0.168971875736508,1.3415155424544,41.34593078149,0.586271833358949,0.135756768347661,0.38533550363819,1.52145812629149,-0.419091015871948,0.385529435203206,31.0000000384106,-0.0167807903343707,0.935369335853846,0.205264090927664,-0.0817521966873606,-0.990853003521048,0.165861774890637,31.0000000385612,-0.412495614315205,0.172071162599707,0.295085722884631,-1.39788401242468,0.995312010697234,0.765947468608894,0.924770406090505,8.4815756245084e-15,0.996998987217015,0.993263158865669,0.924770406090505
"5","Desulfotomaculum alkaliphilum",31.0000000052187,1.29631550330055,0.740864225192658,1,0.263609956076322,0.740864225192658,30.999999994027,2.48297932935536,1.41906083228085,1,0.125235715886938,1.41906083228085,30.9999999926645,0.00662007285813589,0.00378347334138507,1,0.935675665656069,0.00378347334138507,-3.28101330176275,-2.37551726212565,55.8915570908287,-2.8282652819442,1.87220578910572e-17,0.230998132307416,-12.2436716422465,-0.974892359056516,0.326840214906688,55.8915570946607,-0.324026072074914,0.333395332334805,0.332080738276597,-0.975744855773675,-0.842227540553882,0.20549683437763,30.999999993234,-0.318365353088126,0.242645520897747,0.267281537619014,-1.19112362164695,-0.721835990647599,0.784362697896832,30.9999999926645,0.0312633536246163,0.935675665656069,0.384241419848817,0.0813638301589588,0.995312010697234,0.724927222759303,0.998985644857289,1.80334304743746e-16,0.996998987217015,0.97957269651223,0.998985644857289
"6","Lactobacillus algidus",61.9999999984767,0.0820514356549866,0.197817098645498,1,0.775491400445612,0.197817098645498,61.9999999984766,0.171023356174065,0.41231873457065,1,0.680630901839777,0.41231873457065,61.9999999984767,0.290019994819368,0.699206704506493,1,0.592136055058466,0.699206704506493,-3.76293094674977,-2.2413084620498,61.9999999983819,-3.00211970439979,1.14620119895194e-10,0.388176134026529,-7.73391108118619,-0.994262660933245,1.19320748460445,61.9999999984767,0.0994724118356023,0.85910488684523,0.558038352437132,0.178253719302938,-0.700263883253485,1.45163527142107,61.9999999983819,0.375685694083793,0.496301859332812,0.548963953329873,0.684354030542408,-1.97177897196246,1.12177097514319,61.9999999984767,-0.425003998409636,0.592136055058466,0.789185406340929,-0.538535045117184,0.995312010697234,0.940521003568752,0.97777360813,3.54434171484033e-10,0.997002434933661,0.97957269651223,0.97777360813
"7","Morococcus cerebrosus",30.9999990621433,0.0198329579690241,0.024222170860872,1,0.888915752424501,0.024222170860872,31.0000005494646,1.23300006803014,1.50587412961489,1,0.27536344761349,1.50587412961489,31.0000005496181,0.110494993069856,0.134948533929688,1,0.741818645959197,0.134948533929688,-3.29186906128363,-1.74789008195716,49.2826968325354,-2.51987957162039,5.56245939921075e-08,0.393879426230577,-6.39759125206315,-1.13391829591851,1.08569133562577,49.2826968380873,-0.0241134801463674,0.966204054433915,0.566237351566731,-0.0425854636393156,-0.547301035645904,0.984300803141321,31.0000005495864,0.218499883747708,0.580029006320486,0.390721934399893,0.559220930566134,-0.91419529197003,1.2876210789666,31.0000005496181,0.186712893498287,0.741818645959197,0.561698171064439,0.332407871552189,0.995312010697234,0.841086217906194,0.984198990281166,1.20760128925871e-07,0.997002434933661,0.97957269651223,0.984198990281166
"8","Haemophilus sputorum",30.9999982404757,0.0289517696294169,0.0369463646702428,1,0.865996062522681,0.0369463646702428,31.00000085762,0.0895939675054015,0.114333991948634,1,0.766691638967624,0.114333991948634,31.000000857616,0.529516576745274,0.675734602540201,1,0.472270823079248,0.675734602540201,-0.193972176454078,1.60422291869041,44.7453310520176,0.705125371118167,0.131306087461376,0.458731667859314,1.53711945462291,-1.40041930196311,1.18464902216622,44.7453310415382,-0.107885139898445,0.870787368869376,0.659468323020225,-0.163594119887903,-1.07763640448811,0.487965684898616,31.0000008577298,-0.294835359794748,0.465942759147214,0.399395627097232,-0.738203775383277,-0.707537912545871,1.54315689826337,31.000000857616,0.417809492858749,0.472270823079248,0.574167389952681,0.72767889672937,0.995312010697234,0.971993333517199,0.968740944254712,0.151562673956795,0.997002434933661,0.97957269651223,0.968740944254712
"9","Lactobacillus jensenii",31.0000000595031,0.123814580342768,0.198953804602086,1,0.727314281401267,0.198953804602086,30.9999996583752,1.30049817373973,2.08973013377982,1,0.262856520148479,2.08973013377982,30.9999996616528,0.302594268435394,0.486229334132883,1,0.586202612276028,0.486229334132883,-2.74510443428848,-1.38139400111258,60.2545018936636,-2.06324921770053,1.58355384948169e-07,0.347891707177447,-5.93072262181905,-0.937632686260968,1.02282458203363,60.2545018952674,0.0425959478863326,0.93240824464433,0.500125840004826,0.0851704600704526,-1.06856643882895,0.688237605213327,30.9999996616105,-0.19016441680781,0.674269467541994,0.44817253222501,-0.424310735563632,-1.61719641488864,0.908368524209963,30.9999996616528,-0.354413945339337,0.586202612276028,0.644288609132601,-0.550085691902083,0.995312010697234,0.841086217906194,0.97777360813,3.30104011409368e-07,0.997002434933661,0.97957269651223,0.97777360813
"10","Atopobium sp. BV3Ac4",30.999998493986,0.385117698382947,0.134549728312555,1,0.539413017639197,0.134549728312555,31.0000005970157,1.98687026698994,0.694158839591849,1,0.168622355692959,0.694158839591849,31.0000005963879,0.0258867001604551,0.00904411427499337,1,0.87322127507111,0.00904411427499337,-3.18593542721418,-1.94643232494965,38.4874151221816,-2.56618387608191,7.31946685006349e-10,0.316205581337609,-8.11555528282097,-1.1330328988136,0.648865080986307,38.4874151408854,-0.242083908913648,0.597405935541646,0.454574164080385,-0.532550963170972,-0.173686835364315,0.645490196555206,31.0000005964711,0.235901680595446,0.26762671164171,0.208977572644468,1.12883730828276,-0.637156873243998,0.5404843086208,31.0000005963879,-0.0483362823115992,0.87322127507111,0.300424189208037,-0.160893443497412,0.995312010697234,0.799077237215762,0.998349451048352,1.96593372447218e-09,0.996998987217015,0.97957269651223,0.998349451048352
