"","feature","anovas.Legend_ex_INTERVENTION DenDF","anovas.Legend_ex_INTERVENTION F value","anovas.Legend_ex_INTERVENTION Mean Sq","anovas.Legend_ex_INTERVENTION NumDF","anovas.Legend_ex_INTERVENTION Pr(>F)","anovas.Legend_ex_INTERVENTION Sum Sq","anovas.Legend_ex_INTERVENTION:Treatment DenDF","anovas.Legend_ex_INTERVENTION:Treatment F value","anovas.Legend_ex_INTERVENTION:Treatment Mean Sq","anovas.Legend_ex_INTERVENTION:Treatment NumDF","anovas.Legend_ex_INTERVENTION:Treatment Pr(>F)","anovas.Legend_ex_INTERVENTION:Treatment Sum Sq","anovas.Treatment DenDF","anovas.Treatment F value","anovas.Treatment Mean Sq","anovas.Treatment NumDF","anovas.Treatment Pr(>F)","anovas.Treatment Sum Sq","coefs.(Intercept) 2.5 %","coefs.(Intercept) 97.5 %","coefs.(Intercept) df","coefs.(Intercept) Estimate","coefs.(Intercept) Pr(>|t|)","coefs.(Intercept) Std. Error","coefs.(Intercept) t value","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) 2.5 %","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) 97.5 %","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) df","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) Estimate","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) Std. Error","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) t value","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF 2.5 %","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF 97.5 %","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF df","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF Estimate","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF Std. Error","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF t value","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) 2.5 %","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) 97.5 %","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) df","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) Estimate","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) Std. Error","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) t value","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF 2.5 %","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF 97.5 %","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF df","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF Estimate","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF Std. Error","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF t value","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) 2.5 %","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) 97.5 %","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) df","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) Estimate","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) Std. Error","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) t value","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF 2.5 %","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF 97.5 %","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF df","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF Estimate","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF Std. Error","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF t value","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) 2.5 %","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) 97.5 %","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) df","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) Estimate","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) Pr(>|t|)","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) Std. Error","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) t value","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF 2.5 %","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF 97.5 %","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF df","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF Estimate","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF Pr(>|t|)","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF Std. Error","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF t value","coefs.TreatmentDECAF 2.5 %","coefs.TreatmentDECAF 97.5 %","coefs.TreatmentDECAF df","coefs.TreatmentDECAF Estimate","coefs.TreatmentDECAF Pr(>|t|)","coefs.TreatmentDECAF Std. Error","coefs.TreatmentDECAF t value","anovas.Legend_ex_INTERVENTION Pr(>F).BH","anovas.Legend_ex_INTERVENTION:Treatment Pr(>F).BH","anovas.Treatment Pr(>F).BH","coefs.(Intercept) Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF Pr(>|t|).BH","coefs.TreatmentDECAF Pr(>|t|).BH"
"1","ribose degradation",122.195125488596,0.920997927698986,2.45419183268482,4,0.454108564261955,9.8167673307393,122.195125480956,3.74494304444709,9.97918492228763,4,0.00655452138554197,39.9167396891505,30.902195724204,1.18047455951978,3.14562165183561,1,0.285662107551304,3.14562165183561,-2.21336857317707,-0.316827222315095,115.070459673521,-1.26509789774608,0.010122879475531,0.48382045941192,-2.61480859921426,-0.564484310958524,1.69785644788233,121.906723832854,0.566686068461904,0.328098970502959,0.577138349654869,0.981889470351059,-2.73097643075172,0.555772268248259,122.297083656477,-1.08760208125173,0.19703012437417,0.838471707879695,-1.29712436452034,-0.483489185524767,1.77885157331609,121.906723821717,0.647681193895661,0.263970713296506,0.577138349654869,1.12222865502349,-4.1964071553647,-0.944087398816647,121.906723777716,-2.57024727709067,0.00242006083322821,0.829688653006365,-3.09784552045809,-0.878014264850244,1.42745255755575,122.60050848228,0.274719146352751,0.641258739876874,0.588140098642429,0.467098140369735,-2.32088589275245,0.961578937056841,122.249212998853,-0.679653477847803,0.418573497687746,0.837378864025297,-0.811643936868307,-1.30055840266619,0.961782356174669,121.906723816977,-0.169388023245759,0.769641820400161,0.577138349654869,-0.293496391891223,-1.29088839108177,1.96143136546628,121.906723772885,0.335271487192251,0.686852262875877,0.829688653006365,0.404093132981148,-1.06009927667266,1.66635069794525,115.070459756335,0.303125710636294,0.663786592753321,0.695535733340971,0.435816157396034,0.628022482489938,0.213021945030114,0.53793029984547,0.0111523248459239,0.367697122115386,0.312364831324904,0.336433262044567,0.13458841052519,0.850649348816261,0.642796104558343,0.987723396388621,0.827394113170298,0.970331553229968
"2","glycerol degradation II",122.268801783791,2.69289829847257,0.528202312577818,4,0.0341058992881173,2.11280925031127,122.268801783392,2.35852553441695,0.462616297934266,4,0.0571892929312461,1.85046519173707,31.1206053791552,3.03030343602501,0.594383116372718,1,0.091602952016957,0.594383116372718,1.46658460553149,2.08473089531987,76.1900590514465,1.77565775042568,7.0269695335369e-18,0.157693277699041,11.260199396797,-0.581070936693415,0.032723950322232,122.116073252193,-0.274173493185591,0.0824610329078591,0.156583205573465,-1.75097637183673,-0.0946193354088935,0.797481089519821,122.322635472296,0.351430877055464,0.125122476581937,0.227580820863416,1.54420251988799,-0.52866470992458,0.085130177091067,122.116073257295,-0.221767266416757,0.159236312353768,0.156583205573465,-1.41629024392854,-0.387115148463836,0.495270597232572,122.116073270741,0.0540777243843678,0.810550161163029,0.225102540826402,0.240235957292336,-0.102679799137401,0.52328178657103,122.483060299589,0.210300993716814,0.190311535989195,0.159687012273168,1.31695740763853,-0.632867828065588,0.258024055197622,122.297315041172,-0.187421886433983,0.411171842430198,0.227272513752919,-0.824657075064256,-0.410394873450717,0.20340001356493,122.116073257515,-0.103497429942893,0.509874052722551,0.156583205573465,-0.660974014191671,-0.0417736162536959,0.840612129442713,122.11607327307,0.399419256594508,0.0784909341514114,0.225102540826402,1.77438804168159,-0.260300787071144,0.628340494247463,76.1900590522238,0.184019853588159,0.419470380677862,0.22669837005376,0.811738759059098,0.277110431715953,0.413033782281222,0.349500052400888,1.14188254919975e-17,0.167498973094089,0.239204734641938,0.211231842918264,0.863700991403228,0.589059516157031,0.642796104558343,0.987723396388621,0.457989048177011,0.970331553229968
"3","glycerol degradation I",122.309865704883,1.2343576041042,2.62057881943709,4,0.2998695001133,10.4823152777484,122.309865695878,1.52208111356856,3.23142460047281,4,0.19990939507074,12.9256984018913,30.9684968892272,1.03773487359665,2.203142769078,1,0.3162416310907,2.203142769078,-3.41068978539088,-1.77439000252732,124.931259694303,-2.5925398939591,7.18330139020310e-09,0.417431084389939,-6.21070157663992,-2.01281183481895,0.00653634868160125,121.979066418303,-1.00313774306868,0.0537997193578428,0.515149308719169,-1.947275723931,-0.876854918279401,2.05645822329181,122.42691873386,0.589801652506203,0.432114650620354,0.748307919101782,0.788180423393302,-2.13095279313765,-0.111604609637091,121.979066419588,-1.12127870138737,0.0314361388268857,0.515149308719169,-2.17660915468418,-0.53173176911895,2.37126415087378,121.979066412516,0.919766190877416,0.21663239271647,0.740573791888829,1.24196427277228,-1.86318777571037,0.194138201583801,122.775124565464,-0.834524787063283,0.11439245615766,0.524837699448075,-1.59006258113866,-1.08427816526629,1.8452624816845,122.371990244639,0.380492158209105,0.611581538601825,0.747345530341026,0.50912481945999,-2.3963950404313,-0.377046856930745,121.979066421583,-1.38672094868102,0.00810330754389432,0.515149308719169,-2.69188160638101,0.260413908230163,3.1634098282229,121.979066413907,1.71191186822653,0.0224772836033099,0.740573791888829,2.31160201316375,-2.27988778977594,0.0724413589810824,124.931259705036,-1.10372321539743,0.0682530981658971,0.600094993405976,-1.83924749835522,0.512934671246434,0.458283600989548,0.53793029984547,9.33829180726402e-09,0.13466907866703,0.501561648041482,0.0817339609499027,0.343104258687141,0.495700643349859,0.795056000182372,0.272727397946171,0.457989048177011,0.970331553229968
"4","tyrosine degradation II",122.760942879814,1.8344097106435,1.13583357659959,4,0.126465975121981,4.54333430639836,122.76094289406,0.288563973864828,0.178673634690748,4,0.884935375250987,0.714694538762993,31.3133190722227,0.797973447758449,0.494090840197874,1,0.378514288096354,0.494090840197874,-4.36658512519711,-3.53043180909437,140.748122640696,-3.94850846714574,1.54751952257983e-39,0.213308336963898,-18.5108023593753,-0.198626523840737,0.891915169885352,122.340088706924,0.346644323022307,0.215143226845741,0.278204523738228,1.24600534299175,-1.10458379236854,0.479028980838397,122.910143241605,-0.312777405765074,0.440287342612063,0.403990273723976,-0.774220138722393,-0.0402171407003841,1.05032455302571,122.340088704722,0.505053706162661,0.0719111400606658,0.278204523738228,1.81540436286321,-1.18472128412602,0.383031178443759,122.340088686681,-0.40084505284113,0.318199926253445,0.399944201764933,-1.0022524418962,-0.372981172186246,0.737430964535623,123.353606643549,0.182224896174689,0.521235017663988,0.283273607443978,0.643282294524125,-1.00190519596289,0.579733736131868,122.840206951131,-0.211085729915513,0.601809444181129,0.403486733575343,-0.523154077570425,-0.597794579086228,0.492747114639861,122.340088703807,-0.0525237322231835,0.850566016775928,0.278204523738228,-0.18879539238767,-1.07874423191342,0.48900823065636,122.340088698396,-0.294868000628528,0.462368093942411,0.399944201764933,-0.737272847880508,-0.51259241856207,0.689453709474572,140.748122656987,0.0884306454562514,0.773482860552191,0.306650055184235,0.288376421139472,0.375310517219669,0.913028561766892,0.572172761075884,7.73759761289915e-39,0.280243201481633,0.502082057364633,0.129839558442869,0.421650585004997,0.807668114771494,0.795056000182372,0.987723396388621,0.653346219701233,0.970331553229968
"5","aspartate degradation I",122.147762294485,0.831189877984908,0.124742694535554,4,0.5078236528583,0.498970778142214,122.147762297822,1.98769093904932,0.298307198160345,4,0.100568635627677,1.19322879264138,30.992808281763,1.00969036392185,0.151531557323033,1,0.322758179907282,0.151531557323033,2.45654920722913,2.99071806823854,77.8438644501204,2.72363363773384,2.17779613079303e-32,0.136270070578558,19.9870274240717,-0.520951250594072,0.0159451973373852,121.988735955489,-0.252503026628343,0.0676762109372142,0.136965896354838,-1.84354670285355,0.0434233425093586,0.823744575775518,122.203823539194,0.433583959142438,0.0313187281954779,0.199065196968218,2.17810026938894,-0.489477756996169,0.0474186909352876,121.988735951056,-0.221029533030441,0.109164225862598,0.136965896354838,-1.61375597074047,-0.0408483744537037,0.730988899840297,121.988735985282,0.345070262693297,0.0821990738009563,0.196900881950422,1.75250745083093,-0.507256323831543,0.0402655376139968,122.370877169292,-0.233495393108773,0.0971413434651801,0.139676510834975,-1.67168689791115,0.102560128073585,0.881825917742916,122.177457468964,0.49219302290825,0.0146607219136289,0.198795946205155,2.47587052102317,-0.256074424790305,0.280822023141152,121.988735950297,0.0123737991754237,0.928163462352339,0.136965896354838,0.0903421910470824,-0.18482190118796,0.587015373106041,121.988735984063,0.20109673595904,0.309128981870868,0.196900881950422,1.0213094729036,-0.526177355549503,0.241738765487805,77.8438644144767,-0.142219295030849,0.470030062232351,0.195900569371308,-0.725976935581478,0.668220910967651,0.420321814728097,0.53793029984547,7.50704728420717e-32,0.151361981286813,0.131043495347825,0.16124373777746,0.19788665915045,0.486624854983061,0.123600733453908,0.987723396388621,0.64525044452467,0.970331553229968
"6","NADH:ferredoxin oxidoreductase",123.018260306452,3.12381160055843,2.81838909036777,4,0.0173797508394908,11.2735563614711,123.018260297945,0.584016517687658,0.526915829927525,4,0.674791393767226,2.1076633197101,31.4327416126456,0.324606962448245,0.292869365571858,1,0.572901894181554,0.292869365571858,-4.2452922454512,-3.27991172017896,150.126444900464,-3.76260198281508,2.19436766769133e-32,0.246275067523442,-15.2780467005939,-0.351926298245716,0.96448363605819,122.491211858283,0.306278668906237,0.363550375931869,0.335825031655576,0.912018581212724,-1.40873608484517,0.502087631637126,123.2055016605,-0.453324226604021,0.35420797447893,0.487463986980023,-0.929964548586435,0.0991444627705558,1.41555439707446,122.491211842207,0.757349429922509,0.0258966722572158,0.335825031655576,2.25519052641451,-1.58890311843147,0.30355539840414,122.491211785502,-0.642673860013664,0.185596491718351,0.4827789009806,-1.33119707325298,-0.630830595200594,0.708591723551278,123.761598887288,0.038880564175342,0.909590928075219,0.341695645766214,0.113787122127813,-1.12553476749619,0.78300296353777,123.117835304222,-0.17126590197921,0.72561850020907,0.486880816710986,-0.351761449827,-1.00027443849352,0.316135495810385,122.491211850559,-0.342069471341568,0.310403233593018,0.335825031655576,-1.01859432471489,-1.078026185587,0.814432331248606,122.491211781546,-0.131796927169198,0.785315662113518,0.4827789009806,-0.272996452209279,-0.516742653966736,0.871079292245427,150.126444938804,0.177168319139345,0.617515618671539,0.354042716386404,0.500415093827217,0.22593676091338,0.760771054904662,0.702615530600019,7.50704728420717e-32,0.393846240592858,0.420137159034487,0.080629244240054,0.326410316847407,0.967617708650529,0.889909481388483,0.987723396388621,0.856416361231691,0.970331553229968
"7","sulfate reduction (dissimilatory)",122.652661691815,1.54148334900404,4.82143860211229,4,0.194375285541345,19.2857544084492,122.652661688458,0.75738577817688,2.36894484131291,4,0.554987088713396,9.47577936525164,31.2298790339095,0.125549818691221,0.392693662709466,1,0.725472909999694,0.392693662709466,-4.14242790211271,-2.24211764627674,137.767635894805,-3.19227277419473,8.83833096858898e-10,0.48478193242972,-6.58496647801023,-0.0373732889283116,2.4136757171659,122.252643818035,1.1881512141188,0.0597629032027366,0.625279093245534,1.90019341275534,-2.17637357055053,1.38315419094454,122.794414124049,-0.396609689802994,0.663047974696337,0.908059482105837,-0.436766200473163,-0.659084256340994,1.79196474975322,122.252643837119,0.566440246706114,0.366770816459459,0.625279093245534,0.905899865875869,-2.84095196817887,0.682652986395716,122.252643827242,-1.07914949089158,0.232255190495911,0.898895332355169,-1.20052852879337,-0.184005752592724,2.31204742955465,123.215819518223,1.06402083848096,0.0972613229820811,0.636759961365596,1.67099205829314,-3.17159170403182,0.383465557635727,122.727952293129,-1.39406307319804,0.126832799845618,0.906919027520246,-1.53714171926658,-0.478967348718178,1.97208165737604,122.25264382473,0.746557154328929,0.234805870927639,0.625279093245534,1.19395828581745,-2.69366281139278,0.829942143181801,122.252643814168,-0.931860334105492,0.301934539112383,0.898895332355169,-1.03667279221926,-0.748972750465095,1.98289536642849,137.76763590207,0.616961307981697,0.377552955045528,0.69691793789126,0.885271097840448,0.398846932475702,0.695481092872103,0.841137300263311,1.17243165909854e-09,0.14387365585844,0.70652653041413,0.433456419452088,0.343104258687141,0.486624854983061,0.374269004075719,0.987723396388621,0.64525044452467,0.970331553229968
"8","tyrosine degradation I",122.301654294318,2.46263159794592,11.3088464113827,4,0.0487184008054473,45.2353856455307,122.301654291336,0.779327724510709,3.57881282282544,4,0.540696301503961,14.3152512913018,31.0770709584245,0.930027800664886,4.2708546275488,1,0.342300570308422,4.2708546275488,-4.35894485890856,-1.70343499530371,98.6113674915718,-3.03118992710614,2.05581674279513e-05,0.677438433703674,-4.47448768227408,0.254957085167042,3.22486184438223,122.075928430959,1.73990946477464,0.0233531706603978,0.757642686968082,2.29647760705956,-3.36510540507804,0.950444388146578,122.38134675503,-1.20733050846573,0.274947554594089,1.1009257892658,-1.09665021951288,-1.05837461265988,1.91153014655531,122.075928430894,0.426577766947711,0.574445107798325,0.757642686968082,0.563032910216266,-2.78163658210436,1.48787051390473,122.07592840256,-0.646883034099816,0.553666279521524,1.08917998740957,-0.593917480652871,-0.966004188570443,2.06156968449557,122.618649527824,0.547782747962566,0.47952349294693,0.772354465935888,0.70923749667039,-1.55474347795916,2.75507787807578,122.343900413575,0.600167200058309,0.586147675511136,1.09946442639514,0.54587232260538,-1.498839077938,1.47106568127718,122.075928430885,-0.0138866983304098,0.985406457487635,0.757642686968082,-0.0183288225033641,-2.74293547406669,1.52657162194239,122.07592840635,-0.608181926062149,0.577604138400147,1.08917998740957,-0.558385145790832,-0.871078951568577,2.94645700509929,98.6113675441024,1.03768902676536,0.28924200340398,0.973879108692839,1.06552139531791,0.313316711436793,0.695481092872103,0.556238426751186,2.47459422743858e-05,0.111231868002552,0.382628647536877,0.592681460426843,0.62493805468448,0.77922567603876,0.795056000182372,0.987723396388621,0.766209571347134,0.970331553229968
"9","glycolysis (preparatory phase)",122.308331732302,1.36412507184713,0.166972231273266,4,0.250334689644481,0.667888925093064,122.308331730645,1.9314725423248,0.23641694349795,4,0.109421526015302,0.945667773991798,31.0218276431153,2.85743624577075,0.349757156087894,1,0.100978213016218,0.349757156087894,2.47159971947394,2.87996285176232,113.9133694543,2.67578128561813,3.31667376747731e-49,0.104176182702717,25.6851539017693,-0.540801751739002,-0.0559286157768458,122.02595928435,-0.298365183757924,0.0173492294086012,0.123694399434575,-2.4121155454232,0.11038777701756,0.814827637652287,122.408145906762,0.462607707334924,0.0112378524181744,0.179707348244983,2.57422810949435,-0.537144024811331,-0.0522708888491757,122.025959279812,-0.294707456830254,0.0187375793433241,0.123694399434575,-2.38254487007823,0.00408799113694752,0.701137042367014,122.025959267447,0.352612516751981,0.0496187381421592,0.177821903037071,1.98295322864962,-0.387277525418101,0.106853356261359,122.705201420458,-0.140212084578371,0.268184076146195,0.126056112657452,-1.11229897243767,-0.0292964484143187,0.674223807208986,122.361278844942,0.322463679397334,0.074845798369241,0.179472750819041,1.79672779252415,-0.35426390637984,0.130609229582316,122.025959284199,-0.111827338398762,0.367744169483224,0.123694399434575,-0.904061452336895,0.0111004123119737,0.70814946354204,122.025959267253,0.359624937927007,0.0453224985783639,0.177821903037071,2.02238830979125,-0.425384740102833,0.161674250810556,113.913369505319,-0.131855244646138,0.380481311754113,0.14976269858631,-0.880427809399742,0.439777157483548,0.420321814728097,0.349500052400888,1.07791897443013e-47,0.111231868002552,0.131043495347825,0.080629244240054,0.140226868662624,0.645628331463063,0.297591403148335,0.987723396388621,0.457989048177011,0.970331553229968
"10","methanogenesis from carbon dioxide",122.126222748828,0.821260554928669,0.569806727561104,4,0.514016085359732,2.27922691024442,122.126222751669,0.723081203528534,0.501687962329233,4,0.577784292539901,2.00675184931693,31.0569904212279,1.05370917352248,0.731084151506714,1,0.312583465752417,0.731084151506714,-3.23173900229377,-1.70815827947473,51.0470494431742,-2.46994864088425,5.66184287283163e-08,0.388675693746632,-6.35478029787566,-0.541119613243615,0.613280597463234,122.053222450775,0.0360804921098093,0.902691580742181,0.294495261089645,0.122516375904692,-1.42154593591299,0.256673577282159,122.15190754953,-0.582436179315416,0.176197579394302,0.428125089652853,-1.36043458650762,-0.558340265002231,0.596059945704618,122.05322245002,0.0188598403511934,0.949042160570835,0.294495261089645,0.0640412354392774,-0.910043849581299,0.749511015252047,122.053222475634,-0.0802664171646257,0.849943675070243,0.423363612271374,-0.189592149249651,-0.709815118887539,0.467958600220821,122.228516854679,-0.120928259333359,0.688034010720092,0.300458000350642,-0.402479744896899,-1.21271467536129,0.463183124725088,122.139813376932,-0.374765775318098,0.382436785669801,0.427532805017246,-0.876577822614059,-0.476016083749193,0.678384126957656,122.053222447744,0.101184021604231,0.731749897219313,0.294495261089645,0.343584549475757,-1.32805721093739,0.331497653895952,122.053222478548,-0.498279778520721,0.241503752824339,0.423363612271374,-1.17695466515749,-1.29173140634871,0.898553883856167,51.0470494255262,-0.196588761246274,0.726412077139704,0.558756514783326,-0.351832606949571,0.668220910967651,0.695481092872103,0.53793029984547,7.07730359103953e-08,0.902691580742181,0.28632106651574,0.949042160570835,0.89106998192848,0.873124756835601,0.642796104558343,0.987723396388621,0.629505183158395,0.970331553229968
