"","name","term","sumsq","df","statistic","p.value"
"1","Chao1","Legend",2463297.3501185,4,0.816668564224701,0.516511321754441
"2","Chao1","Treatment",883396.711082131,1,1.17150667765799,0.280913637880286
"3","Chao1","Legend:Treatment",271509.021300659,4,0.0900146637144703,0.985459730747164
"4","Chao1","Residuals",107831847.73414,143,NA,NA
"5","Shannon","Legend",0.180939004136405,4,0.258819245638749,0.903867229607416
"6","Shannon","Treatment",0.613343648255167,1,3.50936253056961,0.0630639351259503
"7","Shannon","Legend:Treatment",1.02254656810428,4,1.46267374826339,0.216673708451831
"8","Shannon","Residuals",24.9926135976191,143,NA,NA
"9","Simpson","Legend",0.00259470109433918,4,0.269838598734382,0.896993048586444
"10","Simpson","Treatment",0.00927934916360085,1,3.86006169409785,0.0513869114005076
"11","Simpson","Legend:Treatment",0.0100996555214992,4,1.05032402366769,0.383545985880285
"12","Simpson","Residuals",0.34376314047619,143,NA,NA
