"","feature","anovas.Legend_ex_INTERVENTION DenDF","anovas.Legend_ex_INTERVENTION F value","anovas.Legend_ex_INTERVENTION Mean Sq","anovas.Legend_ex_INTERVENTION NumDF","anovas.Legend_ex_INTERVENTION Pr(>F)","anovas.Legend_ex_INTERVENTION Sum Sq","anovas.Legend_ex_INTERVENTION:Treatment DenDF","anovas.Legend_ex_INTERVENTION:Treatment F value","anovas.Legend_ex_INTERVENTION:Treatment Mean Sq","anovas.Legend_ex_INTERVENTION:Treatment NumDF","anovas.Legend_ex_INTERVENTION:Treatment Pr(>F)","anovas.Legend_ex_INTERVENTION:Treatment Sum Sq","anovas.Treatment DenDF","anovas.Treatment F value","anovas.Treatment Mean Sq","anovas.Treatment NumDF","anovas.Treatment Pr(>F)","anovas.Treatment Sum Sq","coefs.(Intercept) 2.5 %","coefs.(Intercept) 97.5 %","coefs.(Intercept) df","coefs.(Intercept) Estimate","coefs.(Intercept) Pr(>|t|)","coefs.(Intercept) Std. Error","coefs.(Intercept) t value","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) 2.5 %","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) 97.5 %","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) df","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) Estimate","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) Std. Error","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) t value","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF 2.5 %","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF 97.5 %","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF df","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF Estimate","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF Std. Error","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF t value","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) 2.5 %","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) 97.5 %","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) df","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) Estimate","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) Std. Error","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) t value","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF 2.5 %","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF 97.5 %","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF df","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF Estimate","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF Std. Error","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF t value","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) 2.5 %","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) 97.5 %","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) df","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) Estimate","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) Std. Error","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) t value","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF 2.5 %","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF 97.5 %","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF df","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF Estimate","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF Pr(>|t|)","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF Std. Error","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF t value","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) 2.5 %","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) 97.5 %","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) df","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) Estimate","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) Pr(>|t|)","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) Std. Error","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) t value","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF 2.5 %","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF 97.5 %","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF df","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF Estimate","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF Pr(>|t|)","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF Std. Error","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF t value","coefs.TreatmentDECAF 2.5 %","coefs.TreatmentDECAF 97.5 %","coefs.TreatmentDECAF df","coefs.TreatmentDECAF Estimate","coefs.TreatmentDECAF Pr(>|t|)","coefs.TreatmentDECAF Std. Error","coefs.TreatmentDECAF t value","anovas.Legend_ex_INTERVENTION Pr(>F).BH","anovas.Legend_ex_INTERVENTION:Treatment Pr(>F).BH","anovas.Treatment Pr(>F).BH","coefs.(Intercept) Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I) Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 14 of intervention (T14I):TreatmentDECAF Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I) Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 2 of intervention (T2I):TreatmentDECAF Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I) Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONDay 4 of intervention (T4I):TreatmentDECAF Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4) Pr(>|t|).BH","coefs.Legend_ex_INTERVENTIONPost-Intervention (V4):TreatmentDECAF Pr(>|t|).BH","coefs.TreatmentDECAF Pr(>|t|).BH"
"1","Lactobacillus perolens",122.051265100436,0.109834045429415,0.0836040303329786,4,0.978885007619537,0.334416121331914,122.051265099284,1.41180638953713,1.0746458782765,4,0.234044552013416,4.29858351310602,30.7386225018002,0.193675349246717,0.147422775059111,1,0.662954181929641,0.147422775059111,-3.62965930679835,-2.63096208140529,119.127056787297,-3.13031069410182,6.48739134862505e-23,0.254774381894427,-12.2865991110478,-0.327150292262197,0.881994223204505,121.743972062953,0.277421965471154,0.370228505613196,0.308460901578876,0.899374812338136,-1.40255591256819,0.353998774957012,122.159945136231,-0.524278568805591,0.244286486779185,0.44810891969972,-1.16998021185767,-0.786929030237281,0.422215485229421,121.7439720632,-0.18235677250393,0.555494003277889,0.308460901578876,-0.59118277736506,-0.568247315405397,1.17000744608728,121.743972044864,0.30088006534094,0.498734303916859,0.443440485438459,0.678512844950186,-0.623884790713553,0.608182930394411,122.483326146004,-0.0078509301595707,0.980112841786666,0.314308765575887,-0.0249784002847835,-0.843314972050601,0.910962664461055,122.108929722881,0.0338238462052272,0.939877506622385,0.447528028665112,0.0755792800422291,-0.439336453551124,0.769808061915578,121.743972052749,0.165235804182227,0.593158187244408,0.308460901578876,0.535678276684201,-1.42225643018332,0.315998331309352,121.743972040369,-0.553129049436986,0.21466039663936,0.443440485438459,-1.24735802796641,-0.673278673535351,0.762439046822464,119.127056799602,0.0445801866435564,0.903328303647638,0.366261250635872,0.121716907169841,0.989364251631727,0.726185524754974,0.993905152503799,1.04546806733611e-21,0.845371901100431,0.799656546566238,0.997244449155367,0.997961224493377,0.988368906639261,0.980174167054098,0.992359931021588,0.946992836827895,0.994756734469491
"2","Chitinispirillum alkaliphilum",121.0294610157,2.4248486600964,1.55468040156458,4,0.0517020177467161,6.21872160625831,121.029461015009,2.73206604887409,1.75165139658476,4,0.0321397732135781,7.00660558633902,29.9172403604044,0.0109622998457773,0.00702842738467103,1,0.917311873606898,0.00702842738467103,-3.65651463414785,-2.51023003112946,70.7273500289477,-3.08337233263865,3.71941656288788e-16,0.292424914962759,-10.5441505660738,-0.481866569900263,0.627848121960006,120.883796202026,0.0729907760298712,0.796975938228896,0.283095684567052,0.257830761855301,-0.765633284813437,0.847300032593239,121.08079543848,0.0408333738899007,0.921113610218486,0.411470141831505,0.0992377568592129,-0.228743479175735,0.880971212684534,120.883796204951,0.326113866754399,0.25161215795542,0.283095684567052,1.15195633325579,-1.01205524836009,0.583260135657466,120.883796154465,-0.214397556351314,0.599293139811527,0.40697568848234,-0.526806790722136,-0.564744187197912,0.56703497423698,121.233800633966,0.00114539351953368,0.99684125573908,0.288724479215491,0.00396708142879292,0.168754799940661,1.77949641404605,121.056646678409,0.974125606993354,0.0193360217702949,0.410911023572553,2.37064851296538,-0.919362286829629,0.190352405030639,120.883796195826,-0.364504940899495,0.200355987890781,0.283095684567052,-1.28756798768213,-0.262802473747463,1.3325129102701,120.883796144608,0.534855218261317,0.191260786763918,0.40697568848234,1.31421908826017,-1.12587082560882,0.522017118086138,70.7273500923565,-0.30192685376134,0.474992947950361,0.420387302188531,-0.718211164298998,0.522515624842065,0.561106874020384,0.993954836110605,2.09185978503359e-15,0.96381015275006,0.971593157228125,0.997244449155367,0.997961224493377,0.99684125573908,0.261348165217857,0.992359931021588,0.946871239470727,0.994756734469491
"3","Desulfotomaculum gibsoniae",122.043602520003,5.66579502125346,2.47517290708224,4,0.000323234447364805,9.90069162832895,122.043602523886,0.513526383383747,0.22434037702659,4,0.725898920330609,0.89736150810636,30.8230887652009,3.02595884860161,1.32192769627368,1,0.0919206565772072,1.32192769627368,-2.90939127592353,-2.08565023184921,96.92364610063,-2.49752075388637,1.24557078561191e-20,0.210141882853942,-11.8849261268981,-0.176672131029755,0.739348879953851,121.821018081346,0.281338374462048,0.230950337188007,0.233683123314781,1.20393107756897,-0.533383827626652,0.797699218493203,122.122179814316,0.132157695433276,0.697810941138735,0.339568241207305,0.389193332578455,-0.202968726147697,0.713052284835909,121.821018086521,0.255041779344106,0.277250751714953,0.233683123314781,1.09140007941675,-0.564862040421247,0.752001133171371,121.821018078438,0.0935695463750621,0.781077781797247,0.33594065604773,0.278529986444296,-0.722037435526065,0.211794063221865,122.356177395166,-0.2551216861521,0.286313401839107,0.238226698580656,-1.07091979056967,-0.272883175273417,1.05643070543904,122.08525522743,0.39177376508281,0.250233338211641,0.339116915208114,1.15527638850566,-0.778443186591076,0.13757782439253,121.821018084541,-0.320432681099273,0.172824770837581,0.233683123314781,-1.37122731224213,-0.711467898733418,0.6053952748592,121.821018076514,-0.0530363119371092,0.874817437263747,0.33594065604773,-0.157874050021424,-1.079314311735,0.104888050996202,96.9236461077007,-0.487213130369399,0.110046992084917,0.302097990593715,-1.61276521373703,0.0300967185435229,0.885448755803567,0.993905152503799,1.44970599769831e-19,0.753321792630426,0.946593367438463,0.997244449155367,0.997961224493377,0.61837791428137,0.586947158464852,0.992359931021588,0.993395481275975,0.994756734469491
"4","Prevotella sp. MSX73",122.043460248228,1.37191860257445,0.654613827292161,4,0.247617166914403,2.61845530916864,122.043460249647,1.60515089194946,0.76590110141279,4,0.177279891240278,3.06360440565116,31.0072018800521,0.151360088963256,0.0722217826550263,1,0.69989799326213,0.0722217826550263,-1.53850608982826,0.115958305766226,41.0366779534743,-0.711273892031016,0.0995366074226568,0.42206499931751,-1.68522358684365,-0.945026751224606,0.0123028945823979,122.004887917777,-0.466361928321104,0.0585342674609734,0.244221234001823,-1.90958796120743,-0.0413028548468745,1.35056025808312,122.057021038335,0.654628701618124,0.0676608423050743,0.355073645206962,1.84364204568481,-0.510990055202069,0.446339590604936,122.004887920924,-0.0323252322985664,0.89491724025702,0.244221234001823,-0.132360449453486,-0.512164567922869,0.864083509834672,122.004887960076,0.175959470955901,0.617147287602,0.351090144669293,0.501180319720011,-1.09917892345564,-0.122295519387206,122.097484514613,-0.610737221421425,0.0156746125150074,0.24920952930104,-2.45069770459566,0.063033974382785,1.4529548016009,122.050632539919,0.757994387991844,0.0345323423808675,0.354578155053265,2.13773572113594,-0.556959176392078,0.400370469414927,122.004887913802,-0.0782943534885755,0.74907121265421,0.244221234001823,-0.320587821974526,-0.26963637114385,1.10661170661369,122.004887953702,0.41848766773492,0.235587771770642,0.351090144669293,1.19196643394565,-1.37087906330006,1.0075633615512,41.0366779494645,-0.181657850874429,0.766152418446613,0.606756665839809,-0.299391603095118,0.744111951398387,0.694386696840682,0.993905152503799,0.117316001434861,0.570347522001785,0.663255212749355,0.997244449155367,0.997961224493377,0.202081927501172,0.304507384689064,0.992359931021588,0.951541683361783,0.994756734469491
"5","Dielma fastidiosa",122.118235958565,1.26915068827987,0.795346338972106,4,0.285828737475216,3.18138535588843,122.118235959887,0.17661798523676,0.110682261178201,4,0.9500677925031,0.442729044712804,31.0458777749114,0.135511053646663,0.0849215317010165,1,0.715283168352393,0.0849215317010165,0.67039541036972,2.09405997056205,51.9854056572805,1.38222769046589,0.000374076653771508,0.363186408378424,3.80583540181842,-0.45977278448674,0.637348502408199,122.042038822282,0.0887878589607295,0.751609615670036,0.279883022226146,0.317232028775896,-0.684140263533073,0.91079493959068,122.145047517673,0.113327338028804,0.781077624338571,0.406878701778298,0.278528557856425,-0.338771069075766,0.758350217819173,122.042038822997,0.209789574371703,0.454961210544101,0.279883022226146,0.749561630080559,-0.816579263036549,0.760631960672314,122.042038825253,-0.0279736511821178,0.944685983585765,0.402357195374431,-0.0695244213442874,-0.100415166162029,1.01890172099814,122.225014702119,0.459243277418056,0.110348959454691,0.285545269196067,1.60830287509586,-0.944934140411509,0.647796351516467,122.13242335795,-0.148568894447521,0.715259977057379,0.406316265117939,-0.365648405446917,-0.463290897338462,0.633830389556478,122.042038826388,0.0852697461090083,0.761142445564694,0.279883022226146,0.304662088578242,-0.977669340524582,0.599541883184281,122.042038827647,-0.18906372867015,0.639271962923718,0.402357195374432,-0.469890263784667,-1.14080387410749,0.905842882229595,51.9854056487666,-0.117480495938946,0.822853996144796,0.522113358327186,-0.225009557915439,0.748586006012007,0.989014670953537,0.993905152503799,0.000551894781444584,0.951603847300228,0.965087873156219,0.997244449155367,0.997961224493377,0.449463692490165,0.873743237280006,0.992359931021588,0.986567903336332,0.994756734469491
"6","Desulfotomaculum alkaliphilum",122.210615081045,1.75443313895443,0.845924899686523,4,0.142423105265531,3.38369959874609,122.210615079447,0.348478150413993,0.16802369830268,4,0.844662816213496,0.672094793210718,31.0021435519939,0.580601184066949,0.279945121580645,1,0.45183502871494,0.279945121580645,-3.26744202272463,-2.38908854116372,93.8583143735243,-2.82826528194418,6.14567533620115e-22,0.224073883114499,-12.6220211058643,-0.602224287933793,0.360120251703684,122.000142009582,-0.121052018115055,0.62284069832645,0.245500567160501,-0.493082437711496,-0.589204447873583,0.809240378122824,122.28489743727,0.110017965124621,0.758312429451712,0.356752684495011,0.308387210261228,-0.485276601801937,0.47706793783554,122.000142006409,-0.0041043319831988,0.986688723315262,0.245500567160501,-0.016718217927845,-0.457390187199077,0.926067254673088,122.000142006204,0.234338533737006,0.507955033400585,0.352929301962868,0.663981518206897,-0.880801082507902,0.100315001917957,122.506127172037,-0.390243040294972,0.121536343604918,0.250289314539649,-1.55916780152096,-0.34030165627619,1.05627854250243,122.249985988108,0.357988443113121,0.316976106215616,0.356277005545681,1.00480367113454,-0.799537622906877,0.1628069167306,122.000142006632,-0.318365353088138,0.197147010523736,0.245500567160501,-1.29680088632952,-0.660465367311453,0.722992074560713,122.000142007874,0.03126335362463,0.9295589771335,0.352929301962868,0.0885824822443312,-0.955382416195482,0.307330272045608,93.8583143941888,-0.324026072074937,0.317051389539922,0.322126502885055,-1.00589696648015,0.636315442197394,0.942513235668322,0.993905152503799,8.58345988622761e-21,0.923681596518246,0.963071231702402,0.997514412374811,0.997961224493377,0.4546761425934,0.645719287178023,0.992359931021588,0.995614207577508,0.994756734469491
"7","Methylibium petroleiphilum",121.980545434139,0.0377893334662895,0.0171481701379411,4,0.997243768178601,0.0685926805517645,121.980545433738,0.534444066753575,0.24252181621777,4,0.710663086121878,0.970087264871079,30.8444322158648,0.0364549452405366,0.0165426469856027,1,0.849830268855385,0.0165426469856027,-3.80041859777957,-2.832970647567,71.7505652425279,-3.31669462267329,2.80978781271478e-21,0.246802481536312,-13.4386599438843,-0.549418943511568,0.384173588739617,121.839449336255,-0.0826226773859756,0.729255498627316,0.238165736619459,-0.346912526372296,-0.441668103701479,0.915282938663406,122.030265665443,0.236807417480963,0.495219388538268,0.34616734110125,0.68408364789011,-0.41901911005808,0.514573422193105,121.839449337588,0.0477771560675126,0.841342192478645,0.238165736619459,0.200604657687814,-0.672829004237693,0.669294822750228,121.839449351455,-0.0017670907437322,0.995890477530962,0.342384818694227,-0.00516112469726743,-0.615115743353292,0.337046170467472,122.178454728864,-0.13903478644291,0.568110692235753,0.242902910801243,-0.572388309321974,-0.29236036868776,1.06274614403526,122.006875935912,0.38519288767375,0.267361847089558,0.345696789178762,1.11425069520841,-0.456642532650424,0.476949999600761,121.839449335937,0.0101537334751688,0.96606383174479,0.238165736619459,0.0426330572117199,-0.674825582940582,0.667298244047339,121.839449351643,-0.00376366944662146,0.991247399490949,0.342384818694227,-0.0109925126381923,-0.764962013726444,0.625832043098294,71.7505652281032,-0.0695649853140752,0.845111459331634,0.354800921801407,-0.196067656647783,0.997243768178601,0.884620423099422,0.993954836110605,3.67906591727341e-20,0.945433963663616,0.899192314046473,0.997244449155367,0.999696779633226,0.805780806924294,0.602852043404484,0.995143000331215,0.999283383548796,0.994756734469491
"8","Lactobacillus algidus",122.420708277306,1.72769968744608,2.96335089043904,4,0.148139869252114,11.8534035617562,122.420708277119,0.947473126951012,1.62510611932085,4,0.439072408201163,6.50042447728342,31.0322077588256,0.27049987384697,0.463961444140207,1,0.606687449311846,0.463961444140207,-3.71818470762973,-2.28605470116987,132.732134062329,-3.0021197043998,1.64510717701391e-13,0.365346000680706,-8.21719602460766,-1.13914587221948,0.675912119786456,122.049827571833,-0.231616876216512,0.617823565414027,0.463033506310035,-0.500216232864641,-1.08069530600011,1.55550191327641,122.552055000819,0.237403303638151,0.724687433696005,0.672511648191118,0.353009950499302,-0.144321287962651,1.67073670404328,122.049827582327,0.763207708040316,0.101867675379229,0.463033506310035,1.64827749534241,-1.45717622933103,1.15213403642481,122.049827593583,-0.15252109645311,0.819151255988248,0.66565260544014,-0.229130172715633,-0.130131273966652,1.71860931513563,122.942638362857,0.794239020584486,0.0947105421476108,0.471626163461397,1.68404359663879,-2.29314712164093,0.339704244165442,122.490449342037,-0.976721438737744,0.148450000163216,0.671658098458433,-1.45419438994256,-0.531843301919157,1.28321469008678,122.049827574858,0.37568569408381,0.418739881048122,0.463033506310035,0.811357469738402,-1.72965913128758,0.879651134468268,122.049827592805,-0.425003998409657,0.524359370297892,0.66565260544014,-0.638477180042941,-0.929935889224454,1.1288807128957,132.732134033344,0.0994724118356253,0.850074408430374,0.525217967870798,0.189392629195228,0.645161776046483,0.788699227619853,0.993905152503799,6.82475155612703e-13,0.923681596518246,0.955273110300651,0.997244449155367,0.997961224493377,0.417723338524726,0.474813359300667,0.992359931021588,0.985331216375538,0.994756734469491
"9","Morococcus cerebrosus",122.203318809284,1.5968027116561,1.5460801288512,4,0.179434767820724,6.1843205154048,122.20331880852,1.64572341700718,1.59344686356462,4,0.167089774499721,6.37378745425849,31.0647349592457,0.127281505409968,0.12323839685901,1,0.723679540642276,0.12323839685901,-3.22198475302376,-1.81777439021711,72.9453833398749,-2.51987957162043,9.02465982525886e-10,0.358223511728503,-7.03437794873231,-1.14442764971878,0.219286860950789,122.060290241212,-0.462570394383993,0.186118082632039,0.347892747373516,-1.32963506102458,-0.569887764841305,1.41221790622412,122.253722442794,0.421165070691406,0.406513723958219,0.505648493212125,0.832920648128428,-0.173539488990044,1.19017502167952,122.060290243594,0.508317766344738,0.146548307895643,0.347892747373516,1.46113355389666,-1.46942131127932,0.491041818781747,122.060290249701,-0.489189746248787,0.329944494419129,0.500127335380892,-0.9781303912857,-0.995737681912539,0.395081707039166,122.403942319995,-0.300327987436687,0.398951561563061,0.354807384197442,-0.846453599369175,-0.261986117193889,1.71742717729569,122.230012108895,0.727720530050902,0.152102028444879,0.504961649832074,1.44114019409772,-0.463357371587062,0.900357139082502,122.060290236938,0.21849988374772,0.531133549652284,0.347892747373516,0.62806679759014,-0.793518671532266,1.1669444585288,122.060290243879,0.186712893498268,0.709549911037174,0.500127335380892,0.373330710580074,-1.03345327289387,0.98522631260125,72.9453833352935,-0.0241134801463107,0.962781280714783,0.514978744869347,-0.046824224080216,0.693622215938206,0.686378583484148,0.993905152503799,2.2177903030988e-09,0.70517092745099,0.845306453292774,0.997244449155367,0.997961224493377,0.704652464158433,0.477383894519882,0.992359931021588,0.986567903336332,0.994756734469491
"10","Haemophilus sputorum",122.060926298086,1.62364438627611,1.74664859462181,4,0.172569449724212,6.98659437848726,122.060926303289,2.26784156149702,2.43964892170673,4,0.0657308171670826,9.75859568682694,30.9676893959058,0.127893518968916,0.137582488540263,1,0.723052140750569,0.137582488540263,-0.143500674327911,1.55375141656423,58.3422856910676,0.705125371118158,0.108799367223582,0.432980428283337,1.62853867070576,-1.72994428189409,-0.292502034476654,121.963398295431,-1.01122315818537,0.00671824514925846,0.366701189092197,-2.75762170471481,-0.270404004688088,1.8191434575111,122.095260204446,0.774369726411506,0.148873850320215,0.533057617048393,1.45269423350385,-0.718266398408332,0.719175849009105,121.963398288967,0.000454725300386797,0.999012614955781,0.366701189092197,0.0012400431575161,-1.56134265813683,0.505110771525942,121.963398254834,-0.528115943305443,0.31842284835922,0.527166173961025,-1.00180165077224,-1.322764415064,0.143599005784081,122.197638984092,-0.589582704639957,0.117590328813306,0.374079175029379,-1.57609068880579,-0.227304834643722,1.85936985114365,122.079098981601,0.816032508249963,0.127873193580696,0.53232475245637,1.53295991682605,-1.01355648350346,0.423885763913977,121.963398295747,-0.294835359794741,0.422949358435018,0.366701189092197,-0.80402073558756,-0.615417221972642,1.45103620769013,121.96339826063,0.417809492858744,0.429574654295516,0.527166173961025,0.792557477122259,-1.32786194610673,1.11209166630985,58.3422857494508,-0.10788513989844,0.862996884729357,0.622448583663428,-0.173323777625906,0.691929181190858,0.561361385904566,0.993905152503799,0.126806494761282,0.281494471753929,0.676124668842964,0.999012614955781,0.997961224493377,0.452021539199774,0.457939043677877,0.992359931021588,0.985331216375538,0.994756734469491
