"","feature","anovas.Legend_ex_withdraw DenDF","anovas.Legend_ex_withdraw F value","anovas.Legend_ex_withdraw Mean Sq","anovas.Legend_ex_withdraw NumDF","anovas.Legend_ex_withdraw Pr(>F)","anovas.Legend_ex_withdraw Sum Sq","coefs.(Intercept) 2.5 %","coefs.(Intercept) 97.5 %","coefs.(Intercept) df","coefs.(Intercept) Estimate","coefs.(Intercept) Pr(>|t|)","coefs.(Intercept) Std. Error","coefs.(Intercept) t value","coefs.Legend_ex_withdrawDay 2 of washout (T2W) 2.5 %","coefs.Legend_ex_withdrawDay 2 of washout (T2W) 97.5 %","coefs.Legend_ex_withdrawDay 2 of washout (T2W) df","coefs.Legend_ex_withdrawDay 2 of washout (T2W) Estimate","coefs.Legend_ex_withdrawDay 2 of washout (T2W) Pr(>|t|)","coefs.Legend_ex_withdrawDay 2 of washout (T2W) Std. Error","coefs.Legend_ex_withdrawDay 2 of washout (T2W) t value","coefs.Legend_ex_withdrawDay 4 of washout (T4W) 2.5 %","coefs.Legend_ex_withdrawDay 4 of washout (T4W) 97.5 %","coefs.Legend_ex_withdrawDay 4 of washout (T4W) df","coefs.Legend_ex_withdrawDay 4 of washout (T4W) Estimate","coefs.Legend_ex_withdrawDay 4 of washout (T4W) Pr(>|t|)","coefs.Legend_ex_withdrawDay 4 of washout (T4W) Std. Error","coefs.Legend_ex_withdrawDay 4 of washout (T4W) t value","coefs.Legend_ex_withdrawPost-washout (T14W) 2.5 %","coefs.Legend_ex_withdrawPost-washout (T14W) 97.5 %","coefs.Legend_ex_withdrawPost-washout (T14W) df","coefs.Legend_ex_withdrawPost-washout (T14W) Estimate","coefs.Legend_ex_withdrawPost-washout (T14W) Pr(>|t|)","coefs.Legend_ex_withdrawPost-washout (T14W) Std. Error","coefs.Legend_ex_withdrawPost-washout (T14W) t value","anovas.Legend_ex_withdraw Pr(>F).BH","coefs.(Intercept) Pr(>|t|).BH","coefs.Legend_ex_withdrawDay 2 of washout (T2W) Pr(>|t|).BH","coefs.Legend_ex_withdrawDay 4 of washout (T4W) Pr(>|t|).BH","coefs.Legend_ex_withdrawPost-washout (T14W) Pr(>|t|).BH"
"1","Chitinispirillum alkaliphilum",91.3362426161658,2.24181973777796,1.40896306265957,3,0.0887004188689971,4.22688918797871,-3.22965506768039,-2.388485922564,63.6770453040784,-2.80907049512219,1.016204842403e-19,0.214587908694097,-13.0905348405563,-0.346000790480545,0.443334821839526,91.1434494204114,0.0486670156794906,0.809566579270872,0.201364825717781,0.241685783532517,-0.458505312527487,0.347850093537351,91.5383677094431,-0.0553276094950679,0.788562988023326,0.205706689619112,-0.268963588872646,-0.815063282593278,-0.0257276702732074,91.1434494184281,-0.420395476433243,0.0396124593087287,0.201364825717781,-2.08773044117665,0.692522295492883,4.70485998858405e-19,0.959930254609391,0.990316899229131,0.836983153062332
"2","Catenibacterium mitsuokai",91.1629645216066,0.824996498635082,0.605302923250923,3,0.483425140113826,1.81590876975277,3.37212966583766,4.60745413422546,45.1959241827302,3.98979190003156,1.82509937497785e-16,0.315139583719876,12.6603959202346,-0.610677176399853,0.242172660162978,91.0727339960694,-0.184252258118437,0.399285779852652,0.217567731675174,-0.846873094184405,-0.667563613618684,0.204218910753889,91.2573527395176,-0.231672351432397,0.300301050667166,0.222397587723316,-1.04170352657161,-0.363906404266265,0.488943432296566,91.0727339950863,0.0625185140151508,0.774495655151147,0.217567731675174,0.28735195947389,0.927995739998803,5.83753158866963e-16,0.862545082723336,0.990316899229131,0.977025442307036
"3","Prevotella sp. MSX73",90.9741223019723,1.50349531081131,1.0246974976738,3,0.218966269335053,3.07409249302141,-1.33392915267014,-0.015875327614872,41.8617417274907,-0.674902240142506,0.0512161903090618,0.336244399247106,-2.0071776411851,-0.523062271309347,0.298913537974326,90.9023716694105,-0.112074366667511,0.594319524110636,0.209691559581532,-0.534472474195769,-0.141435933846763,0.698879466707261,91.0491485373847,0.278721766430249,0.196817739329079,0.214370112711847,1.30018948492555,-0.535258516630879,0.286717292652794,90.9023716692746,-0.124270611989043,0.554896694315259,0.209691559581532,-0.592635260270094,0.808342439219269,0.0591988516951639,0.895754966195528,0.990316899229131,0.977025442307036
"4","Dielma fastidiosa",91.0675021526872,1.34337840342483,0.706145054804148,3,0.265270444821724,2.11843516441244,0.944065355807106,1.96626439863398,45.903665066447,1.45516487722054,1.23400858535755e-06,0.260769853652886,5.58026496098561,-0.676542423734436,0.0453292784672369,90.9721738194687,-0.315606572633599,0.0899681446836338,0.1841543283182,-1.71381566491483,-0.357315398867803,0.380560068628809,91.1672345944665,0.0116223348805028,0.950902580254184,0.188236996525671,0.0617430956454821,-0.490718439116297,0.231153263085375,90.972173821607,-0.129782588015461,0.482766808741222,0.1841543283182,-0.704749050433449,0.851080362570979,1.85322436295632e-06,0.670786648762464,0.990316899229131,0.977025442307036
"5","Methylibium petroleiphilum",91.4852699393123,0.66070903174219,0.354909590758517,3,0.578320121376502,1.06472877227555,-3.57316781627012,-2.89895703009282,81.272320997611,-3.23606242318147,2.36100572998316e-31,0.171995707955705,-18.8147859132326,-0.240219080263805,0.489517275577448,91.1965329249763,0.124649097656821,0.504818531175336,0.186160654378682,0.669578102165799,-0.278509887705231,0.466498724037186,91.7885820433637,0.0939944181659774,0.622092498364994,0.190056709617868,0.494559851925063,-0.479160854177293,0.250575501663959,91.1965329247422,-0.114292676256667,0.5407791976478,0.186160654378682,-0.613946468109078,0.927995739998803,5.81918471095849e-30,0.881329019010274,0.990316899229131,0.977025442307036
"6","Lactobacillus algidus",91.1078364617676,0.353419164615123,0.513410486481142,3,0.786764816794755,1.54023145944343,-3.2148243673335,-2.18712029739786,93.7041940534308,-2.70097233236568,4.34192680417141e-17,0.262174223108702,-10.3022040089952,-0.631415725489296,0.568634870823552,90.7378803103668,-0.0313904273328719,0.918557618420373,0.306140981614635,-0.102535855106082,-0.578662561318562,0.645852778269947,91.4971087993917,0.0335951084756928,0.914592161977442,0.31238210223436,0.107544920901034,-0.853040858012015,0.347009738300832,90.7378803085518,-0.253015559855591,0.41070693607795,0.306140981614635,-0.826467461236807,0.96405398536947,1.49733936703524e-16,0.980574884377418,0.990316899229131,0.977025442307036
"7","Morococcus cerebrosus",91.2441481924441,2.23515219200767,1.39066455442069,3,0.0894420422180001,4.17199366326207,-2.6950678230132,-1.71305730471062,51.8432878729826,-2.20406256386191,7.32120375872448e-12,0.250517490639766,-8.79803864485958,-0.885879052144745,-0.100517058482523,91.1160970658368,-0.493198055313634,0.0157114650521013,0.20035112886182,-2.46166846234137,-0.785439189091789,0.0171760664975059,91.3782109328649,-0.384131561297142,0.0638368247014985,0.204752552067339,-1.8760770374711,-0.720165817563634,0.0651961760985875,91.1160970647599,-0.327484820732523,0.105592970670608,0.20035112886182,-1.63455440751914,0.692522295492883,1.51112530783525e-11,0.449448884241859,0.906699306777215,0.952564413859888
"8","Haemophilus sputorum",91.2135353746595,2.65321212036379,3.74656720064454,3,0.0532841432470105,11.2397016019336,-0.531564058079809,0.843565052608263,56.3893633820563,0.156000497264227,0.658243618774091,0.350804688640943,0.44469330746003,-0.933121138600931,0.250037597281092,91.0595955342105,-0.34154177065992,0.260789243981968,0.301831754362485,-1.1315634147948,-0.452677971753165,0.756284628267655,91.3747931465188,0.151803328257245,0.623754546366982,0.30841449372462,0.492205558902133,-0.0946569811347053,1.08850175474732,91.0595955331164,0.496922386806306,0.103137815191957,0.301831754362485,1.64635555942708,0.622578370673663,0.675990383005745,0.802501137447088,0.990316899229131,0.952564413859888
"9","Pelotomaculum thermopropionicum",91.484574905232,0.936616695338061,0.524009493693323,3,0.426375226431561,1.57202848107997,-2.84068892310283,-2.19705453404003,92.3985256706247,-2.51887172857143,3.84607972444808e-27,0.164195463319658,-15.3406901606511,-0.515303503223041,0.22942995884796,91.1284337345372,-0.142936772187541,0.453778279645202,0.189986517085356,-0.752352189936317,-0.452556230018366,0.307416854407132,91.8591929391919,-0.072569687805617,0.709033992193761,0.193874247287213,-0.374313189198922,-0.677303410965782,0.067430051105219,91.1284337360736,-0.304936679930282,0.111944297961022,0.189986517085356,-1.60504379262494,0.907850896587241,4.67103595519927e-26,0.862545082723336,0.990316899229131,0.952564413859888
"10","Atopobium sp. BV3Ac4",90.5927802520606,0.201791359739971,0.127051729612222,3,0.894902973217606,0.381155188836665,-2.99761619431281,-2.14586389556795,61.6176021058325,-2.57174004494038,1.64045198592368e-17,0.217287742393069,-11.835642529196,-0.516798182459332,0.273245755472018,90.4029433958956,-0.121776213493657,0.547216085713625,0.201545524347161,-0.604211946100567,-0.548420955292435,0.258687752095217,90.7918019603159,-0.144866601598609,0.483493995948313,0.205898861855121,-0.703581361710213,-0.506603175387987,0.283440762543364,90.4029433991613,-0.111581206422311,0.581200315682939,0.201545524347161,-0.55362780584556,0.9905301004927,6.00305137207006e-17,0.886163268569427,0.990316899229131,0.977025442307036
